step,avg_time
1,6.459463452
2,5.475565897
3,5.146108887
4,4.995191872
5,4.940677974
6,4.866345324
7,4.813152124
8,4.79616325
9,4.804251082
10,4.777403768
11,4.775845333
12,4.77899789
13,4.814148646
14,4.865293232
15,4.85324254
16,4.844167883
17,4.888034876
18,4.878474468
19,4.870196543
20,4.863479229
21,4.86774842
22,4.861752817
23,4.856216625
24,4.851615851
25,4.869548675
26,4.864369751
27,4.859595238
28,4.85555038
29,4.859183215
30,4.854986579
31,4.861118125
32,4.857455265
33,4.860514603
34,4.856713828
35,4.853121481
36,4.850024364
37,4.852887358
38,4.849626076
39,4.846514061
40,4.843845498
41,4.846539592
42,4.843698857
43,4.840977454
44,4.83863892
45,4.841142924
46,4.838618782
47,4.836209333
48,4.834135615
49,4.836511552
50,4.83426424
51,4.832103373
52,4.830267818
53,4.832532027
54,4.830501688
55,4.828545253
56,4.826862642
57,4.82902102
58,4.827221206
59,4.825454247
60,4.823937223
61,4.825998797
62,4.824328418
63,4.822725145
64,4.821336599
65,4.823320919
66,4.821788242
67,4.82030169
68,4.819052931
69,4.820931609
70,4.819525293
71,4.818162377
72,4.816990539
73,4.81880885
74,4.817483362
75,4.816212634
76,4.815127728
77,4.816888887
78,4.815677518
79,4.814507446
80,4.813499321
81,4.815177179
82,4.814038696
83,4.812930039
84,4.811982845
85,4.813589858
86,4.812505714
87,4.811460503
88,4.810565145
89,4.812137036
90,4.811137079
91,4.810155952
92,4.809319464
93,4.810820363
94,4.809869194
95,4.808946701
96,4.889117355
97,4.975673426
98,5.058445341
99,5.139430837
100,5.296367481
