step,avg_time
1,6.495774872
2,5.493782914
3,5.1599363
4,5.021222212
5,4.961278432
6,4.883417059
7,4.827812225
8,4.808756088
9,4.811384763
10,4.783733725
11,4.78199643
12,4.784728647
13,4.819132471
14,4.873614444
15,4.861020445
16,4.851460458
17,4.89876227
18,4.888619051
19,4.87985706
20,4.872665307
21,4.87654033
22,4.869921972
23,4.864021663
24,4.859077435
25,4.876579496
26,4.8711384
27,4.866137838
28,4.861891309
29,4.865312644
30,4.860943959
31,4.868567533
32,4.86468877
33,4.867517509
34,4.863500564
35,4.859713654
36,4.856444751
37,4.859104443
38,4.855698208
39,4.85244734
40,4.849635097
41,4.852183786
42,4.849217653
43,4.84637057
44,4.843915233
45,4.846322029
46,4.843720286
47,4.841199177
48,4.839024369
49,4.841318154
50,4.838981098
51,4.836729916
52,4.834800995
53,4.836972538
54,4.834862518
55,4.832840247
56,4.831084973
57,4.833172504
58,4.831298151
59,4.829473852
60,4.82789011
61,4.829885522
62,4.828150567
63,4.826489327
64,4.825041702
65,4.826970148
66,4.825377944
67,4.823852434
68,4.822523123
69,4.8243565
70,4.822882664
71,4.821469232
72,4.820245831
73,4.822020923
74,4.820666809
75,4.81935723
76,4.818223099
77,4.819932779
78,4.818674814
79,4.817466766
80,4.816420064
81,4.818062875
82,4.816890996
83,4.815755676
84,4.814791586
85,4.81637014
86,4.815270396
87,4.81419831
88,4.813286776
89,4.814816249
90,4.813792719
91,4.812790227
92,4.811930761
93,4.81340607
94,4.812436003
95,4.811476932
96,4.890822937
97,4.977308601
98,5.059989614
99,5.14092628
100,5.296573531
