step,step_time
1,3.705418792
2,2.534615187
3,2.532794532
4,2.620207216
5,2.64866828
6,2.535593165
7,2.53597886
8,2.718183997
9,2.811937114
10,2.695326743
11,2.69958766
12,2.597454863
13,2.715876662
14,3.163392302
15,2.628898738
16,2.639213424
17,2.749095633
18,2.643891136
19,2.647053431
20,2.654265939
21,2.760376828
22,2.651963159
23,3.018589572
24,2.969466879
25,3.317800331
26,2.962394915
27,2.653516709
28,2.657155415
29,2.762221603
30,2.652526779
31,2.652108751
32,2.656395177
33,2.761297639
34,3.014940934
35,2.651528742
36,2.654938263
37,2.759553132
38,2.649619276
39,2.65053832
40,2.653348896
41,2.75834083
42,2.64862343
43,2.647854232
44,2.653053728
45,2.758129689
46,2.647443338
47,2.647202049
48,2.651595581
49,2.757136562
50,3.830734441
51,3.700846209
52,2.651129562
53,2.756902731
54,2.647441042
55,2.64738302
56,2.650680364
57,2.757187722
58,2.646997395
59,2.646731963
60,2.650598516
61,2.756152513
62,2.645764345
63,2.646696504
64,2.651256327
65,2.75853908
66,2.645697685
67,2.645650876
68,2.654482765
69,2.75694879
70,2.646187349
71,2.646033225
72,2.650413356
73,2.756325873
74,2.645167393
75,2.645919254
76,2.650468322
77,2.756726548
78,2.646545544
79,2.646125052
80,2.649946724
81,2.756736747
82,2.64500551
83,2.645741081
84,2.650273565
85,2.755560304
86,2.647496782
87,2.645323414
88,2.651033493
89,2.756757687
90,2.645482011
91,2.645915427
92,2.649828165
93,2.756457046
94,2.645596774
95,2.646032862
96,7.054320076
97,7.563177535
98,7.691934439
99,7.416556946
100,16.83209886
101,2.218057243
102,1.439650218
103,1.43880731
104,1.852626044
105,1.431384783
106,1.439017185
107,1.439403662
108,1.489583458
109,1.431459227
110,1.439591354
111,1.438596468
112,1.486894285
113,1.431307577
114,1.438690028
115,1.438832423
116,1.84085838
117,1.431231901
118,1.438804839
119,1.440225723
120,1.486923532
121,1.434185466
122,1.438822344
123,1.439199081
124,1.852796391
125,1.431157105
126,1.43877938
127,1.438478719
128,1.487560562
129,1.432920382
130,1.439883313
131,1.438118774
132,1.486959893
133,1.431275565
134,1.439224941
135,1.439171958
136,1.487268398
137,1.430957962
138,1.438976461
139,1.438696761
140,1.486962166
141,1.435278478
142,1.438958386
143,1.43914178
144,1.488961089
145,1.43121082
146,1.439010337
147,1.438931986
148,1.486596029
149,1.431525428
150,2.01127998
151,1.857471532
152,1.486246855
153,1.431181894
154,1.439536545
155,1.43900572
156,1.486411909
157,1.431137124
158,1.440852683
159,1.43878241
160,1.486696019
161,1.431418599
162,1.439362621
163,1.438939904
164,1.486767918
165,1.431688801
166,1.438424298
167,1.439274962
168,1.487343962
169,1.431184376
170,1.438218839
171,1.439402069
172,1.486545077
173,1.430999699
174,1.438591241
175,1.438937349
176,1.486822945
177,1.759758109
178,1.438852946
179,1.439296984
180,1.48672253
181,1.430851752
182,1.439114271
183,1.438277011
184,1.487142772
185,1.430432471
186,1.439523462
187,1.439332022
188,1.486789079
189,1.431164577
190,1.438548116
191,1.438775969
192,1.487512751
193,1.430770519
194,1.438920113
195,1.439746621
196,2.388845681
197,2.770411637
198,2.77258978
199,2.7723103
200,14.61149168
201,1.862016649
202,1.438967977
203,1.439090343
204,1.486298258
205,1.431151992
206,1.439138216
207,1.439134298
208,1.487534568
209,1.430879575
210,1.438326517
211,1.438003503
212,1.486809577
213,1.431824291
214,1.439459237
215,1.439530273
216,1.486677982
217,1.431115231
218,1.438051515
219,1.438572783
220,1.486861517
221,1.433367684
222,1.439477271
223,1.438141651
224,1.486248302
225,1.431003664
226,1.439420101
227,1.43816235
228,1.486467515
229,1.431140469
230,1.438964402
231,1.439382536
232,1.486931698
233,1.430680696
234,1.438950661
235,1.802882351
236,1.486948541
237,1.430608997
238,1.438812524
239,1.438947736
240,1.487926481
241,1.80190348
242,1.439442593
243,1.439297121
244,1.487024378
245,1.431073054
246,1.438752859
247,1.439088348
248,1.486639503
249,1.431719885
250,2.007795939
251,1.860844652
252,1.486957168
253,1.43124151
254,1.439853917
255,1.439349883
256,1.48702543
257,1.431372172
258,1.439049953
259,1.43782186
260,1.486137613
261,1.432223958
262,1.438420877
263,1.439777049
264,1.486718928
265,1.430641309
266,1.438813657
267,1.439809151
268,1.486601379
269,1.430968786
270,1.439234432
271,1.439411185
272,1.487385415
273,1.431259813
274,1.438236003
275,1.439525626
276,1.486870444
277,1.430164667
278,1.438313303
279,1.438587002
280,1.487502927
281,1.431339587
282,1.442882682
283,1.438728806
284,1.48697138
285,1.431482383
286,1.438792499
287,1.43970349
288,1.486211922
289,1.431005723
290,1.438566933
291,1.439162324
292,1.487827053
293,1.4309476
294,1.439160941
295,1.438706633
296,2.389127083
297,2.77256663
298,2.771512153
299,2.772618592
300,15.21053791
301,1.863126982
302,1.43931034
303,1.438796386
304,1.487486585
305,1.430237449
306,1.438076018
307,1.438495689
308,1.84763757
309,1.432009674
310,1.438187133
311,1.438913116
312,1.486936609
313,1.430705244
314,1.438695485
315,1.438968152
316,1.487818213
317,1.431183159
318,1.438984945
319,1.439573041
320,1.487425534
321,1.431340392
322,1.43966577
323,1.439703062
324,1.486720051
325,1.430844183
326,1.439074818
327,1.43838263
328,1.486622082
329,1.431503106
330,1.801277792
331,1.439118944
332,1.486568798
333,1.431526151
334,1.438370628
335,1.438498504
336,1.488936715
337,1.43083769
338,1.438739991
339,1.439282329
340,1.486269269
341,1.430891183
342,1.43867234
343,1.438928756
344,1.486484636
345,1.431923698
346,1.439211703
347,1.439328448
348,1.487334608
349,1.431007802
350,2.008765455
351,1.860779352
352,1.490045599
353,1.431781959
354,1.439639965
355,1.438065503
356,1.488094267
357,1.431056606
358,1.439334545
359,1.438917339
360,1.487232291
361,1.430863222
362,1.439203813
363,1.439412536
364,1.487240536
365,1.430593581
366,1.438999007
367,1.438656264
368,1.486862677
369,1.431481116
370,1.439146582
371,1.438478971
372,1.486877386
373,1.431424878
374,1.438629893
375,1.43929093
376,1.486911301
377,1.431035685
378,1.764324496
379,1.438967947
380,1.487398302
381,1.430676762
382,1.438526032
383,1.438251782
384,1.487827652
385,1.431481988
386,1.439754728
387,1.438634943
388,1.486198141
389,1.430777196
390,1.789143847
391,1.438822816
392,1.488482386
393,1.431817523
394,1.439691261
395,1.439949209
396,2.388649322
397,2.771714151
398,2.771233652
399,2.771390025
400,15.04498931
401,1.862331543
402,1.439573923
403,1.438995035
404,1.486999858
405,1.430984683
406,1.438832881
407,1.439270858
408,1.487525815
409,1.431511051
410,1.438740623
411,1.439094957
412,1.486909915
413,1.431363927
414,1.439114605
415,1.439257062
416,1.487220485
417,1.431533054
418,1.438929338
419,1.438788967
420,1.487538299
421,1.430612605
422,1.438951421
423,1.439831641
424,1.487242114
425,1.431094408
426,1.439631888
427,1.439483591
