step,step_time
1,5.017624431
2,3.458225692
3,3.45478497
4,3.699093258
5,3.461814518
6,3.462155897
7,3.461356927
8,3.619096603
9,3.856045077
10,3.853226415
11,3.525461704
12,3.980956962
13,3.561677488
14,4.13473179
15,3.868088794
16,4.035593151
17,3.606965382
18,3.890933177
19,3.617617811
20,4.056396762
21,3.621864033
22,3.624221316
23,3.625513787
24,4.062669731
25,3.625434113
26,3.626119264
27,3.626404493
28,3.787313379
29,3.625204904
30,3.625185156
31,3.902521194
32,3.786103763
33,3.622380091
34,3.62348983
35,3.622267183
36,3.783591173
37,3.623375108
38,3.62058417
39,3.620404254
40,3.781515182
41,3.618530804
42,3.619488799
43,3.618977595
44,3.780296744
45,3.896083319
46,3.617005114
47,3.617565483
48,3.779440061
49,3.616671371
50,5.246560639
51,5.088133666
52,3.779329147
53,3.616115951
54,3.616036957
55,3.616699705
56,3.780549439
57,3.617975954
58,3.616108366
59,3.617026084
60,3.778440334
61,3.61487592
62,3.616326586
63,3.615876582
64,3.778016127
65,3.6149604
66,3.615316457
67,3.61564553
68,3.778435295
69,3.615353337
70,3.615865765
71,3.616305833
72,3.777925611
73,3.615191356
74,3.615865334
75,3.615841579
76,3.778311175
77,3.615259727
78,3.615181206
79,3.614984927
80,3.778846297
81,3.615053267
82,3.615662055
83,3.61648995
84,3.778635766
85,3.614748022
86,3.619987862
87,3.615726089
88,3.778673498
89,3.614217561
90,3.614625748
91,3.614921347
92,3.778324566
93,3.614688858
94,3.615094521
95,3.615371045
96,9.58686011
97,10.4448956
98,9.98028179
99,9.990145515
100,18.51532993
101,2.307418992
102,1.602687295
103,1.88435982
104,1.650388558
105,1.602192542
106,1.884487766
107,1.882271816
108,1.650689879
109,1.59793192
110,1.602074165
111,1.601640841
112,1.65092414
113,1.597936392
114,1.883686432
115,1.603344847
116,1.652330249
117,1.600473983
118,1.60324257
119,1.601420207
120,1.649745368
121,1.599533921
122,1.601681039
123,1.602777563
124,1.651966288
125,1.59808569
126,1.605506883
127,1.602015243
128,1.651903588
129,1.599267938
130,1.603660304
131,1.601367866
132,1.650367506
133,1.60078342
134,1.601654589
135,1.601776855
136,1.650518709
137,1.600374502
138,1.601724153
139,1.602004453
140,1.650407604
141,1.880871807
142,1.601066936
143,1.601327769
144,1.650837071
145,1.598058067
146,1.601565186
147,1.601171107
148,1.649938469
149,1.59851637
150,2.208975565
151,2.020452594
152,1.650222751
153,1.879796605
154,1.601802242
155,1.601210853
156,1.650101687
157,1.599185458
158,1.601310865
159,1.601839875
160,1.651855338
161,1.598534443
162,1.601876866
163,1.602415123
164,1.65139498
165,1.599099733
166,1.601502564
167,1.603201389
168,1.651346776
169,1.598830674
170,1.600479152
171,1.601540527
172,1.934879946
173,1.600746206
174,1.601988551
175,1.601960977
176,1.652750433
177,1.598702367
178,1.60186304
179,1.602319689
180,1.650517339
181,1.598646028
182,1.602243152
183,1.88258024
184,1.651145158
185,1.598827809
186,1.601999072
187,1.602314088
188,1.651494001
189,1.598810306
190,1.60207045
191,1.601983824
192,1.651411172
193,1.599329658
194,1.602416116
195,1.602676037
196,2.696564566
197,3.076144012
198,3.07820792
199,3.075124156
200,14.54462556
201,2.030375963
202,1.602668643
203,1.601968925
204,1.651273728
205,1.598032407
206,1.604865207
207,1.602104385
208,1.651272445
209,1.599075448
210,1.602085379
211,1.602451515
212,1.650832517
213,1.598123132
214,1.601030526
215,1.602161906
216,1.932526261
217,1.598615265
218,1.602174546
219,1.601623954
220,1.65079939
221,1.598481757
222,1.60133664
223,1.601345367
224,1.650145349
225,1.598652336
226,1.601773532
227,1.602216807
228,1.650708215
229,1.599055262
230,1.602572833
231,1.602206727
232,1.650744083
233,1.877203063
234,1.602709366
235,1.602669108
236,1.650717151
237,1.599131449
238,1.602738733
239,1.602070885
240,1.651073609
241,1.599321336
242,1.602327039
243,1.601509393
244,1.652168459
245,1.598301751
246,1.602343701
247,1.601963869
248,1.649926367
249,1.597898724
250,2.204144303
251,2.022858344
252,1.649765727
253,1.59801657
254,1.601136454
255,1.602075394
256,1.650873894
257,1.598262198
258,1.601316004
259,1.601333386
260,1.650796498
261,1.597862943
262,1.884949856
263,1.602111267
264,1.651501498
265,1.598624882
266,1.601681648
267,1.881688756
268,1.650110916
269,1.598477608
270,1.601903667
271,1.602913685
272,1.650196009
273,1.598168662
274,1.601378353
275,1.601463768
276,1.6505484
277,1.598421239
278,1.602328938
279,1.601704382
280,1.650694211
281,1.599174001
282,1.601900821
283,1.603176201
284,1.652081129
285,1.598727709
286,1.601462571
287,1.601998584
288,1.65063875
289,1.598674416
290,1.601449746
291,1.602008042
292,1.651604902
293,1.599576465
294,1.602403103
295,1.601954589
296,2.695860257
297,3.074069571
298,3.074642114
299,3.075860313
300,13.76368135
301,2.024024631
302,1.601170464
303,1.60196081
304,1.65024649
305,1.598161755
306,1.601239067
307,1.602434872
308,1.650995174
309,1.598044017
310,1.601324001
311,1.601667003
312,1.650164492
313,1.598046522
314,1.601832882
315,1.601889762
316,1.651345098
317,1.59943069
318,1.601400579
319,1.603047834
320,1.651540466
321,1.597569733
322,1.601990066
323,1.602750681
324,1.651502622
325,1.598922369
326,1.601302789
327,1.601647388
328,1.650395299
329,1.59832376
330,1.602526852
331,1.60165387
332,1.650071615
333,1.598551188
334,1.600501428
335,1.60245832
