1, SFC, Weight, 2029278213.0000000000, 7
1, SFC, Efficiency, 0.7386215348, 0
1, SFC, UsedEfficiency, 0.7386215348, 0
1, SFC, Time, 0.0000319690, 0
1, SFC+Knapsack, PreviousEfficiency, 0.8511415532, 0
1, SFC+Knapsack, Weight, 1759605266.0000000000, 0
1, SFC+Knapsack, Weight, 1661678511.0000000000, 1
1, SFC+Knapsack, Weight, 1544037709.0000000000, 2
1, SFC+Knapsack, Weight, 999997201.0000000000, 3
1, SFC+Knapsack, Weight, 1527617484.0000000000, 4
1, SFC+Knapsack, Weight, 1504842913.0000000000, 5
1, SFC+Knapsack, Weight, 1496891208.0000000000, 6
1, SFC+Knapsack, Weight, 1496278414.0000000000, 7
1, SFC+Knapsack, Efficiency, 0.8518209267, 0
1, SFC+Knapsack, UsedEfficiency, 0.8511415532, 0
1, SFC+Knapsack, Time, 0.0000330910, 0
1, SFC+Painter, PreviousEfficiency, 0.8114321269, 0
1, SFC+Painter, Weight, 1847189110.0000000000, 6
1, SFC+Painter, Weight, 1811122105.0000000000, 5
1, SFC+Painter, Weight, 1759605266.0000000000, 0
1, SFC+Painter, Weight, 1662762917.0000000000, 4
1, SFC+Painter, Weight, 1543174944.0000000000, 3
1, SFC+Painter, Weight, 1367318803.0000000000, 7
1, SFC+Painter, Weight, 999997201.0000000000, 2
1, SFC+Painter, Weight, 999778360.0000000000, 1
1, SFC+Painter, Efficiency, 0.8114321269, 0
1, SFC+Painter, UsedEfficiency, 0.8114321269, 0
1, SFC+Painter, Time, 0.0000456750, 0
1, Painter+Knapsack, PreviousEfficiency, 0.8511415532, 0
1, Painter+Knapsack, Weight, 1759605266.0000000000, 0
1, Painter+Knapsack, Weight, 1661678511.0000000000, 1
1, Painter+Knapsack, Weight, 1544037709.0000000000, 2
1, Painter+Knapsack, Weight, 999997201.0000000000, 3
1, Painter+Knapsack, Weight, 1527617484.0000000000, 4
1, Painter+Knapsack, Weight, 1504842913.0000000000, 5
1, Painter+Knapsack, Weight, 1496891208.0000000000, 6
1, Painter+Knapsack, Weight, 1496278414.0000000000, 7
1, Painter+Knapsack, Efficiency, 0.8518209267, 0
1, Painter+Knapsack, UsedEfficiency, 0.8511415532, 0
1, Painter+Knapsack, Time, 0.0000383410, 0
2, Original, PreviousEfficiency, 0.3178943502, 0
2, Original, Efficiency, 0.9735981106, 0
2, Original, Weight, 1535657278.0000000000, 0
2, Original, Weight, 1539323367.0000000000, 1
2, Original, Weight, 1531389506.0000000000, 2
2, Original, Weight, 1524166861.0000000000, 3
2, Original, Weight, 1501725542.0000000000, 4
2, Original, Weight, 1510158435.0000000000, 5
2, Original, Weight, 1423645242.0000000000, 6
2, Original, Weight, 1423392343.0000000000, 7
2, Original, UsedEfficiency, 0.9735981106, 0
2, Knapsack, PreviousEfficiency, 0.9703069001, 0
2, Knapsack, Weight, 1538825503.0000000000, 0
2, Knapsack, Weight, 1536155142.0000000000, 1
2, Knapsack, Weight, 1499779964.0000000000, 2
2, Knapsack, Weight, 1490866198.0000000000, 3
2, Knapsack, Weight, 1481802116.0000000000, 4
2, Knapsack, Weight, 1481583781.0000000000, 5
2, Knapsack, Weight, 1480339819.0000000000, 6
2, Knapsack, Weight, 1480106051.0000000000, 7
2, Knapsack, Efficiency, 0.9739131037, 0
2, Knapsack, UsedEfficiency, 0.9703069001, 0
2, Knapsack, Time, 0.0000231330, 0
2, Karmarkar-Karp, PreviousEfficiency, 0.9706197669, 0
2, Karmarkar-Karp, Weight, 1480106051.0000000000, 0
2, Karmarkar-Karp, Weight, 1480339819.0000000000, 1
2, Karmarkar-Karp, Weight, 1481583781.0000000000, 2
2, Karmarkar-Karp, Weight, 1481802116.0000000000, 3
2, Karmarkar-Karp, Weight, 1490866198.0000000000, 4
2, Karmarkar-Karp, Weight, 1499779964.0000000000, 5
2, Karmarkar-Karp, Weight, 1536155142.0000000000, 6
2, Karmarkar-Karp, Weight, 1538825503.0000000000, 7
2, Karmarkar-Karp, Efficiency, 0.9739131037, 0
2, Karmarkar-Karp, UsedEfficiency, 0.9706197669, 0
2, Karmarkar-Karp, Time, 0.0001514930, 0
2, SFC, PreviousEfficiency, 0.7371981607, 0
2, SFC, Weight, 873481883.0000000000, 0
2, SFC, Weight, 1872593940.0000000000, 1
2, SFC, Weight, 1000000001.0000000000, 2
2, SFC, Weight, 1543255420.0000000000, 3
2, SFC, Weight, 1671043627.0000000000, 4
2, SFC, Weight, 1500104719.0000000000, 5
2, SFC, Weight, 1496035331.0000000000, 6
2, SFC, Weight, 2032943653.0000000000, 7
2, SFC, Efficiency, 0.7371981607, 0
2, SFC, UsedEfficiency, 0.7371981607, 0
2, SFC, Time, 0.0000284640, 0
2, SFC+Knapsack, PreviousEfficiency, 0.8544057025, 0
2, SFC+Knapsack, Weight, 1746465902.0000000000, 0
2, SFC+Knapsack, Weight, 1662283180.0000000000, 1
2, SFC+Knapsack, Weight, 1551644918.0000000000, 2
2, SFC+Knapsack, Weight, 1000000001.0000000000, 3
2, SFC+Knapsack, Weight, 1527493929.0000000000, 4
2, SFC+Knapsack, Weight, 1504710989.0000000000, 5
2, SFC+Knapsack, Weight, 1500637386.0000000000, 6
2, SFC+Knapsack, Weight, 1496222269.0000000000, 7
2, SFC+Knapsack, Efficiency, 0.8581228640, 0
2, SFC+Knapsack, UsedEfficiency, 0.8544057025, 0
2, SFC+Knapsack, Time, 0.0000300860, 0
2, SFC+Painter, PreviousEfficiency, 0.8096345988, 0
2, SFC+Painter, Weight, 1851060125.0000000000, 6
2, SFC+Painter, Weight, 1810921409.0000000000, 5
2, SFC+Painter, Weight, 1746465902.0000000000, 0
2, SFC+Painter, Weight, 1671043627.0000000000, 4
2, SFC+Painter, Weight, 1543255420.0000000000, 3
2, SFC+Painter, Weight, 1367102169.0000000000, 7
2, SFC+Painter, Weight, 1000000001.0000000000, 2
2, SFC+Painter, Weight, 999609921.0000000000, 1
2, SFC+Painter, Efficiency, 0.8096345988, 0
2, SFC+Painter, UsedEfficiency, 0.8096345988, 0
2, SFC+Painter, Time, 0.0000393130, 0
2, Painter+Knapsack, PreviousEfficiency, 0.8544057025, 0
2, Painter+Knapsack, Weight, 1746465902.0000000000, 0
2, Painter+Knapsack, Weight, 1662283180.0000000000, 1
2, Painter+Knapsack, Weight, 1551644918.0000000000, 2
2, Painter+Knapsack, Weight, 1000000001.0000000000, 3
2, Painter+Knapsack, Weight, 1527493929.0000000000, 4
2, Painter+Knapsack, Weight, 1504710989.0000000000, 5
2, Painter+Knapsack, Weight, 1500637386.0000000000, 6
2, Painter+Knapsack, Weight, 1496222269.0000000000, 7
2, Painter+Knapsack, Efficiency, 0.8581228640, 0
2, Painter+Knapsack, UsedEfficiency, 0.8544057025, 0
2, Painter+Knapsack, Time, 0.0000382310, 0
3, Original, PreviousEfficiency, 0.9731950890, 0
3, Original, Efficiency, 0.9731950890, 0
3, Original, Weight, 1529928636.0000000000, 0
3, Original, Weight, 1539756069.0000000000, 1
3, Original, Weight, 1531280597.0000000000, 2
3, Original, Weight, 1524071115.0000000000, 3
3, Original, Weight, 1497444271.0000000000, 4
3, Original, Weight, 1518545584.0000000000, 5
3, Original, Weight, 1423516794.0000000000, 6
3, Original, Weight, 1423321291.0000000000, 7
3, Original, UsedEfficiency, 0.9731950890, 0
3, Knapsack, PreviousEfficiency, 0.9677874728, 0
3, Knapsack, Weight, 1536542626.0000000000, 0
3, Knapsack, Weight, 1533142079.0000000000, 1
3, Knapsack, Weight, 1499678016.0000000000, 2
3, Knapsack, Weight, 1490749439.0000000000, 3
3, Knapsack, Weight, 1486215613.0000000000, 4
3, Knapsack, Weight, 1481272617.0000000000, 5
3, Knapsack, Weight, 1480229735.0000000000, 6
3, Knapsack, Weight, 1480034232.0000000000, 7
3, Knapsack, Efficiency, 0.9752303771, 0
3, Knapsack, UsedEfficiency, 0.9677874728, 0
3, Knapsack, Time, 0.0000241850, 0
3, Karmarkar-Karp, PreviousEfficiency, 0.9719392191, 0
3, Karmarkar-Karp, Weight, 1480034232.0000000000, 0
3, Karmarkar-Karp, Weight, 1480229735.0000000000, 1
3, Karmarkar-Karp, Weight, 1481272617.0000000000, 2
3, Karmarkar-Karp, Weight, 1486215613.0000000000, 3
3, Karmarkar-Karp, Weight, 1490749439.0000000000, 4
3, Karmarkar-Karp, Weight, 1499678016.0000000000, 5
3, Karmarkar-Karp, Weight, 1533142079.0000000000, 6
3, Karmarkar-Karp, Weight, 1536542626.0000000000, 7
3, Karmarkar-Karp, Efficiency, 0.9752303771, 0
