0, Original, Efficiency, 0.6836648685, 0
0, Original, Weight, 903722850.0000000000, 0
0, Original, Weight, 896639100.0000000000, 1
0, Original, Weight, 864683741.0000000000, 2
0, Original, Weight, 850501028.0000000000, 3
0, Original, Weight, 653598869.0000000000, 4
0, Original, Weight, 724247215.0000000000, 5
0, Original, Weight, 724363717.0000000000, 6
0, Original, Weight, 726420446.0000000000, 7
0, Original, Weight, 654237996.0000000000, 8
0, Original, Weight, 664982182.0000000000, 9
0, Original, Weight, 648419446.0000000000, 10
0, Original, Weight, 839732971.0000000000, 11
0, Original, Weight, 902730487.0000000000, 12
0, Original, Weight, 634287259.0000000000, 13
0, Original, Weight, 1110116143.0000000000, 14
0, Original, Weight, 885977934.0000000000, 15
0, Original, Weight, 865251043.0000000000, 16
0, Original, Weight, 868737173.0000000000, 17
0, Original, Weight, 593414819.0000000000, 18
0, Original, Weight, 672466224.0000000000, 19
0, Original, Weight, 633064749.0000000000, 20
0, Original, Weight, 632359996.0000000000, 21
0, Original, Weight, 634315464.0000000000, 22
0, Original, Weight, 630466913.0000000000, 23
0, Original, UsedEfficiency, 0.6836648685, 0
0, Knapsack, Weight, 1000000001.0000000000, 0
0, Knapsack, Weight, 780790550.0000000000, 1
0, Knapsack, Weight, 777620391.0000000000, 2
0, Knapsack, Weight, 748209936.0000000000, 3
0, Knapsack, Weight, 747583383.0000000000, 4
0, Knapsack, Weight, 747506905.0000000000, 5
0, Knapsack, Weight, 747497769.0000000000, 6
0, Knapsack, Weight, 747399244.0000000000, 7
0, Knapsack, Weight, 746240682.0000000000, 8
0, Knapsack, Weight, 745865056.0000000000, 9
0, Knapsack, Weight, 745434631.0000000000, 10
0, Knapsack, Weight, 745434097.0000000000, 11
0, Knapsack, Weight, 744784781.0000000000, 12
0, Knapsack, Weight, 744776457.0000000000, 13
0, Knapsack, Weight, 744754905.0000000000, 14
0, Knapsack, Weight, 744754088.0000000000, 15
0, Knapsack, Weight, 744747474.0000000000, 16
0, Knapsack, Weight, 744735206.0000000000, 17
0, Knapsack, Weight, 744683648.0000000000, 18
0, Knapsack, Weight, 744641402.0000000000, 19
0, Knapsack, Weight, 744542883.0000000000, 20
0, Knapsack, Weight, 744504401.0000000000, 21
0, Knapsack, Weight, 744243681.0000000000, 22
0, Knapsack, Weight, 743986194.0000000000, 23
0, Knapsack, Efficiency, 0.7589474061, 0
0, Knapsack, UsedEfficiency, 0.7589474061, 0
0, Knapsack, Time, 0.0000823630, 0
0, Karmarkar-Karp, Weight, 743986194.0000000000, 0
0, Karmarkar-Karp, Weight, 744243681.0000000000, 1
0, Karmarkar-Karp, Weight, 744504401.0000000000, 2
0, Karmarkar-Karp, Weight, 744542883.0000000000, 3
0, Karmarkar-Karp, Weight, 744641402.0000000000, 4
0, Karmarkar-Karp, Weight, 744683648.0000000000, 5
0, Karmarkar-Karp, Weight, 744735206.0000000000, 6
0, Karmarkar-Karp, Weight, 744747474.0000000000, 7
0, Karmarkar-Karp, Weight, 744754088.0000000000, 8
0, Karmarkar-Karp, Weight, 744754905.0000000000, 9
0, Karmarkar-Karp, Weight, 744776457.0000000000, 10
0, Karmarkar-Karp, Weight, 744784781.0000000000, 11
0, Karmarkar-Karp, Weight, 745434097.0000000000, 12
0, Karmarkar-Karp, Weight, 745434631.0000000000, 13
0, Karmarkar-Karp, Weight, 745865056.0000000000, 14
0, Karmarkar-Karp, Weight, 746240682.0000000000, 15
0, Karmarkar-Karp, Weight, 747399244.0000000000, 16
0, Karmarkar-Karp, Weight, 747497769.0000000000, 17
0, Karmarkar-Karp, Weight, 747506905.0000000000, 18
