0, Original, Efficiency, 0.8055944476, 0
0, Original, Weight, 1204375237.0000000000, 0
0, Original, Weight, 1080470161.0000000000, 1
0, Original, Weight, 1183857603.0000000000, 2
0, Original, Weight, 1560807085.0000000000, 3
0, Original, UsedEfficiency, 0.8055944476, 0
0, Knapsack, Weight, 1262849473.0000000000, 0
0, Knapsack, Weight, 1258525958.0000000000, 1
0, Knapsack, Weight, 1255699337.0000000000, 2
0, Knapsack, Weight, 1252435318.0000000000, 3
0, Knapsack, Efficiency, 0.9956669804, 0
0, Knapsack, UsedEfficiency, 0.9956669804, 0
0, Knapsack, Time, 0.0000384320, 0
0, Karmarkar-Karp, Weight, 1256882679.0000000000, 0
0, Karmarkar-Karp, Weight, 1257488766.0000000000, 1
0, Karmarkar-Karp, Weight, 1257563754.0000000000, 2
0, Karmarkar-Karp, Weight, 1257574887.0000000000, 3
0, Karmarkar-Karp, Efficiency, 0.9998430587, 0
0, Karmarkar-Karp, UsedEfficiency, 0.9956669804, 0
0, Karmarkar-Karp, Time, 0.0000816720, 0
0, SFC, Weight, 1251278905.0000000000, 0
0, SFC, Weight, 611126342.0000000000, 1
0, SFC, Weight, 1792324031.0000000000, 2
0, SFC, Weight, 1374780808.0000000000, 3
0, SFC, Efficiency, 0.7015347112, 0
0, SFC, UsedEfficiency, 0.7015347112, 0
0, SFC, Time, 0.0000330120, 0
0, SFC+Knapsack, Weight, 1262849473.0000000000, 0
0, SFC+Knapsack, Weight, 1258525958.0000000000, 1
0, SFC+Knapsack, Weight, 1255699337.0000000000, 2
0, SFC+Knapsack, Weight, 1252435318.0000000000, 3
0, SFC+Knapsack, Efficiency, 0.9956669804, 0
0, SFC+Knapsack, UsedEfficiency, 0.9956669804, 0
0, SFC+Knapsack, Time, 0.0000313080, 0
0, SFC+Painter, Weight, 1388268498.0000000000, 1
0, SFC+Painter, Weight, 1376913824.0000000000, 0
0, SFC+Painter, Weight, 1227496645.0000000000, 2
0, SFC+Painter, Weight, 1036831119.0000000000, 3
0, SFC+Painter, Efficiency, 0.9057163822, 0
0, SFC+Painter, UsedEfficiency, 0.9057163822, 0
0, SFC+Painter, Time, 0.0000452140, 0
0, Painter+Knapsack, Weight, 1262849473.0000000000, 0
0, Painter+Knapsack, Weight, 1258525958.0000000000, 1
0, Painter+Knapsack, Weight, 1255699337.0000000000, 2
0, Painter+Knapsack, Weight, 1252435318.0000000000, 3
0, Painter+Knapsack, Efficiency, 0.9956669804, 0
0, Painter+Knapsack, UsedEfficiency, 0.9956669804, 0
0, Painter+Knapsack, Time, 0.0000334320, 0
1, Original, PreviousEfficiency, 0.4315318126, 0
1, Original, Efficiency, 0.4315318126, 0
1, Original, Weight, 2992627764.0000000000, 0
1, Original, Weight, 1954430473.0000000000, 1
1, Original, Weight, 1176717515.0000000000, 2
1, Original, Weight, 8433474639.0000000000, 3
1, Original, UsedEfficiency, 0.4315318126, 0
1, Knapsack, PreviousEfficiency, 0.8269663299, 0
1, Knapsack, Weight, 3681112990.0000000000, 0
1, Knapsack, Weight, 3636662705.0000000000, 1
1, Knapsack, Weight, 3622395068.0000000000, 2
1, Knapsack, Weight, 3617079628.0000000000, 3
1, Knapsack, Efficiency, 0.9886446321, 0
1, Knapsack, UsedEfficiency, 0.8269663299, 0
1, Knapsack, Time, 0.0000164110, 0
1, Karmarkar-Karp, PreviousEfficiency, 0.8379257892, 0
1, Karmarkar-Karp, Weight, 3635733720.0000000000, 0
1, Karmarkar-Karp, Weight, 3640432487.0000000000, 1
1, Karmarkar-Karp, Weight, 3640537245.0000000000, 2
1, Karmarkar-Karp, Weight, 3640546939.0000000000, 3
1, Karmarkar-Karp, Efficiency, 0.9996609462, 0
1, Karmarkar-Karp, UsedEfficiency, 0.8379257892, 0
1, Karmarkar-Karp, Time, 0.0000591310, 0
1, SFC, PreviousEfficiency, 0.6111420414, 0
1, SFC, Weight, 2827620764.0000000000, 0
1, SFC, Weight, 4157021978.0000000000, 1
1, SFC, Weight, 3618497428.0000000000, 2
1, SFC, Weight, 3954110221.0000000000, 3
1, SFC, Efficiency, 0.8754614763, 0
1, SFC, UsedEfficiency, 0.8754614763, 0
1, SFC, Time, 0.0000227020, 0
1, SFC+Knapsack, PreviousEfficiency, 0.8269663299, 0
