0.0281797680,0.0022897020,0.0022722970,0.0018530590,0.0018596900,0.0266787670,0.0021242410,0.0021116460,0.0021231200,0.0016602750,0.0016509980,0.0262877920,0.0013889320,0.0013768290,0.0013563070,0.0012515940,0.0012627670,0.0012724170,0.0004856950,0.0004814400,0.0004788180,0.0004106100,0.0004198030,0.0004365810,0.0004836440,0.0004771220,0.0004792570,0.0004178570,0.0004113830,0.0295518880,0.0004181040,0.0004161520,0.0004498820,0.0003813660,0.0003770860,0.0003672670,0.0004176970,0.0004119270,0.0004215730,0.0003673280,0.0003615660,0.0003622500,0.0004338890,0.0004147920,0.0004113740,0.0003673610,0.0003586930,0.0003589120
3,3,3,3,3,0,3,3,3,3,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2
0.0721778689,0.0642983761,0.0635024173,0.0504449853,0.0497931158,0.0593996601,0.0676153956,0.0679033121,0.0684011567,0.0522850953,0.0522885033,0.0606228933,0.0273843730,0.0273880367,0.0273271147,0.0221269725,0.0221015051,0.0223396744,0.0064523752,0.0064294078,0.0064689980,0.0054598760,0.0054631750,0.0056574219,0.0065746793,0.0065249314,0.0065194756,0.0055046022,0.0054576500,0.0135989867,0.0054674057,0.0054680566,0.0057316802,0.0050393849,0.0049437707,0.0048691454,0.0055040433,0.0054257924,0.0054822317,0.0048768357,0.0048161660,0.0047801473,0.0054172239,0.0054888892,0.0054507877,0.0048039404,0.0047985696,0.0048352026
3,3,3,3,3,0,3,3,3,3,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2
0.0690298767,0.0679188134,0.0686486994,0.0532735141,0.0519557934,0.0508791221,0.0681061541,0.0680069461,0.0694517846,0.0525925666,0.0530071914,0.0525064859,0.0276413078,0.0275960486,0.0275434940,0.0221992580,0.0223954321,0.0224674915,0.0062389593,0.0062644612,0.0062877593,0.0052963589,0.0052909794,0.0052919188,0.0062934590,0.0062338519,0.0061999189,0.0052295803,0.0052862829,0.0053448538,0.0052940458,0.0052230996,0.0053201244,0.0046505530,0.0046573719,0.0046572620,0.0052796145,0.0052579979,0.0052288944,0.0047129003,0.0046845895,0.0046335661,0.0053046540,0.0052448659,0.0053150249,0.0046452085,0.0047295620,0.0046087829
2,3,0,2,3,2,3,0,1,0,1,1,3,1,2,0,1,0,0,2,3,1,2,1,2,2,2,0,0,3,3,0,3,0,3,1,3,2,1,2,3,0,1,2,3,2,1,0
0.0658678415,0.0675495866,0.0705406013,0.0544270161,0.0534865808,0.0516068392,0.0680103374,0.0687136882,0.0696407895,0.0526858220,0.0535808447,0.0531407709,0.0275954961,0.0276076086,0.0275768679,0.0221712630,0.0222681937,0.0224283705,0.0062438401,0.0062708250,0.0062885988,0.0053017830,0.0052909630,0.0052932968,0.0063041092,0.0062541648,0.0062135598,0.0052410795,0.0052883750,0.0053489227,0.0052984949,0.0052244231,0.0053331497,0.0046542696,0.0046568376,0.0046517976,0.0052835376,0.0052608867,0.0052216303,0.0047191401,0.0046812029,0.0046322699,0.0053049769,0.0052581078,0.0052976665,0.0046433692,0.0047295720,0.0046046775
2,3,0,2,3,2,3,0,1,0,1,1,3,1,2,0,1,0,0,2,3,1,2,1,2,2,2,0,0,3,3,0,3,0,3,1,3,2,1,2,3,0,1,2,3,2,1,0
0.0659301137,0.0682968041,0.0697841889,0.0548702112,0.0549866078,0.0522653239,0.0679386178,0.0687743162,0.0695622603,0.0529280749,0.0531304802,0.0533821879,0.0274403961,0.0274552376,0.0277635374,0.0223200753,0.0223855844,0.0223785909,0.0062523568,0.0062712144,0.0062864673,0.0053015477,0.0052956535,0.0053052251,0.0062901401,0.0062267338,0.0062103382,0.0052461856,0.0052812644,0.0053502147,0.0052974464,0.0052194079,0.0053278621,0.0046798863,0.0046589684,0.0046487675,0.0052828319,0.0052647770,0.0052173235,0.0047105411,0.0046780100,0.0046451352,0.0052988251,0.0052356561,0.0053093937,0.0046394469,0.0047153853,0.0046108677
2,3,0,2,3,2,3,0,1,0,1,1,3,1,2,0,1,0,0,2,3,1,2,1,2,2,2,0,0,3,3,0,3,0,3,1,3,2,1,2,3,0,1,2,3,2,1,0
0.0659545258,0.0677672287,0.0667428419,0.0539006268,0.0563774586,0.0536208287,0.0679865395,0.0681435703,0.0701538613,0.0529782726,0.0531616946,0.0530966908,0.0276813923,0.0275420960,0.0276169703,0.0222323584,0.0223445298,0.0224003669,0.0062437641,0.0062675416,0.0062925460,0.0052943595,0.0052923805,0.0052955940,0.0062833863,0.0062453202,0.0061992654,0.0052295299,0.0052906770,0.0053491400,0.0052943963,0.0052118484,0.0053229866,0.0046438897,0.0046544677,0.0046579391,0.0052807338,0.0052597045,0.0052208073,0.0047106704,0.0046788875,0.0046330273,0.0053164694,0.0052497898,0.0053134763,0.0046365130,0.0047186242,0.0046139590
2,3,0,2,3,2,3,0,1,0,1,1,3,1,2,0,1,0,0,2,3,1,2,1,2,2,2,0,0,3,3,0,3,0,3,1,3,2,1,2,3,0,1,2,3,2,1,0
0.0667088579,0.0648899533,0.0644333694,0.0514642518,0.0574072707,0.0544791121,0.0684294788,0.0686656659,0.0694537738,0.0533324547,0.0536076218,0.0534951943,0.0277017592,0.0275374989,0.0276005198,0.0222947433,0.0223944595,0.0224196597,0.0062439205,0.0062621785,0.0062886702,0.0053026661,0.0052738019,0.0052985767,0.0062902788,0.0062247085,0.0061948487,0.0052348279,0.0052867920,0.0053457930,0.0052960496,0.0052242662,0.0053181512,0.0046417159,0.0046515218,0.0046544341,0.0052860614,0.0052705240,0.0052254446,0.0047103834,0.0046831808,0.0046393714,0.0052918030,0.0052357879,0.0052970140,0.0046441596,0.0047126316,0.0046063747
2,3,0,2,3,2,3,0,1,0,1,1,3,1,2,0,1,0,0,2,3,1,2,1,2,2,2,0,0,3,3,0,3,0,3,1,3,2,1,2,3,0,1,2,3,2,1,0
0.0669940577,0.0637464858,0.0645929312,0.0506239611,0.0585435810,0.0552610980,0.0684819161,0.0689788191,0.0687260540,0.0528236559,0.0530772430,0.0530297473,0.0275151090,0.0275404263,0.0276862130,0.0222660480,0.0224087953,0.0224018081,0.0062525287,0.0062631990,0.0062856793,0.0052862006,0.0052868140,0.0052981212,0.0062915720,0.0062447418,0.0062002863,0.0052430719,0.0052822495,0.0053465640,0.0052933089,0.0052196185,0.0053197513,0.0046571381,0.0046536788,0.0046550329,0.0052862251,0.0052741694,0.0052249408,0.0047124247,0.0046897103,0.0046336816,0.0053071189,0.0052572850,0.0053190000,0.0046570558,0.0047166888,0.0046100301
2,3,0,2,3,2,3,0,1,0,1,1,3,1,2,0,1,0,0,2,3,1,2,1,2,2,2,0,0,3,3,0,3,0,3,1,3,2,1,2,3,0,1,2,3,2,1,0
0.0674876226,0.0636033204,0.0652508460,0.0506392752,0.0592285413,0.0557260177,0.0677150564,0.0685701177,0.0692938917,0.0528849772,0.0532281882,0.0528578049,0.0275995448,0.0276728293,0.0275975666,0.0222691086,0.0223425875,0.0223335248,0.0062410566,0.0062579707,0.0062955639,0.0053066889,0.0052880396,0.0053043312,0.0062948554,0.0062372241,0.0061917750,0.0052296474,0.0052790276,0.0053508450,0.0052945500,0.0052135812,0.0053194283,0.0046420973,0.0046572533,0.0046484084,0.0052883860,0.0052651347,0.0052208220,0.0047035095,0.0046777809,0.0046281218,0.0053087406,0.0052439065,0.0053013436,0.0046404721,0.0047105080,0.0046062790
2,3,0,2,3,2,3,0,1,0,1,1,3,1,2,0,1,0,0,2,3,1,2,1,2,2,2,0,0,3,3,0,3,0,3,1,3,2,1,2,3,0,1,2,3,2,1,0
