step,step_time
1,2.985755447
2,2.02920741
3,2.028470829
4,2.123427855
5,2.123859939
6,2.032279951
7,2.031708098
8,2.036205029
9,2.492042342
10,2.436273511
11,2.436610322
12,2.081819989
13,2.171481563
14,2.4456286
15,2.389843226
16,2.398521699
17,2.481518166
18,2.681805962
19,2.403142449
20,2.126227749
21,2.207337586
22,2.125346672
23,2.125432148
24,2.129843922
25,2.209552912
26,2.126103804
27,2.126289362
28,2.130422539
29,2.209654297
30,2.125997188
31,2.125721045
32,2.128806129
33,2.208625592
34,2.123949005
35,2.125354067
36,2.127858039
37,2.207571999
38,2.123088373
39,2.123475622
40,2.126267038
41,2.206682643
42,2.122825607
43,2.122204187
44,2.125654787
45,2.205312698
46,2.121168368
47,2.121071822
48,2.124754449
49,2.206176365
50,3.072681459
51,2.965543676
52,2.124435557
53,2.205033541
54,2.120879862
55,2.12209764
56,2.124098076
57,2.204921035
58,2.120688363
59,2.120933966
60,2.124615694
61,2.204178754
62,2.120110559
63,2.121415044
64,2.125515188
65,2.205711441
66,2.121526342
67,2.120534798
68,2.123752759
69,2.204901459
70,2.120315815
71,2.120422571
72,2.125675551
73,2.204837886
74,2.11992475
75,2.12001776
76,2.12348883
77,2.205085404
78,2.119918118
79,2.120376662
80,2.123823281
81,2.203973677
82,2.120065829
83,2.119904198
84,2.123247471
85,2.205261531
86,2.120049768
87,2.119986496
88,2.124595911
89,2.203844399
90,2.119556047
91,2.12005036
92,2.122896295
93,2.20406307
94,2.119817151
95,2.119783774
96,5.912535882
97,6.533380482
98,6.3470195
99,6.352991296
100,18.24567315
101,1.559296165
102,1.472191153
103,1.47479481
104,1.237057304
105,1.450892232
106,1.192668764
107,1.192831456
108,1.235582904
109,1.187089244
110,1.194526602
111,1.192902955
112,1.233616618
113,1.187134265
114,1.472524416
115,1.193347594
116,1.235017731
117,1.188035934
118,1.193150543
119,1.193537741
120,1.496202826
121,1.187233416
122,1.192828683
123,1.194924366
124,1.233899424
125,1.187351764
126,1.196212162
127,1.192940829
128,1.233207177
129,1.18727709
130,1.192882387
131,1.47181653
132,1.233597631
133,1.188073317
134,1.194305672
135,1.192706717
136,1.234453372
137,1.187117723
138,1.193168388
139,1.19333502
140,1.233904232
141,1.187269143
142,1.192883619
143,1.193334649
144,1.234912241
145,1.187820198
146,1.193113232
147,1.193742326
148,1.51368945
149,1.187350923
150,1.676957244
151,1.558174297
152,1.234359766
153,1.187738261
154,1.192866226
155,1.192770382
156,1.234245425
157,1.18759305
158,1.19297725
159,1.19347553
160,1.235724798
161,1.1881945
162,1.193471964
163,1.193391598
164,1.234446132
165,1.187713702
166,1.194017776
167,1.193752214
168,1.235091687
169,1.188142009
170,1.193524855
171,1.193167696
172,1.23498091
173,1.1876251
174,1.458417515
175,1.194505524
176,1.234619047
177,1.187827681
178,1.193295268
179,1.193659662
180,1.234855483
181,1.466576304
182,1.194032611
183,1.194283865
184,1.234578538
185,1.188344708
186,1.193854166
187,1.193676504
188,1.234928694
189,1.188474197
190,1.194070584
191,1.193872541
192,1.235297796
193,1.18824727
194,1.194075818
195,1.193939304
196,1.989631463
197,2.320275609
198,2.321841769
199,2.602045521
200,14.40643464
201,1.566013292
202,1.194002075
203,1.193999439
204,1.235039711
205,1.188319193
206,1.194148237
207,1.19469961
208,1.23491441
209,1.188396963
210,1.194015251
211,1.194400032
212,1.235461415
213,1.188642968
214,1.1938911
215,1.193896481
216,1.235116259
217,1.452774217
218,1.193882805
219,1.193945846
220,1.235745895
221,1.189285928
222,1.194387067
223,1.194161632
224,1.235148341
225,1.189019183
226,1.194275352
227,1.194735329
228,1.235170244
229,1.188524649
230,1.194558177
231,1.194248379
232,1.235551178
233,1.188954441
234,1.194313791
235,1.194537773
236,1.51605809
237,1.189530694
238,1.194725946
239,1.195532172
240,1.235676833
241,1.188830773
242,1.195197495
243,1.19458298
244,1.236360903
245,1.18896895
246,1.194866868
247,1.194715056
248,1.236407022
249,1.189228371
250,1.677819089
251,1.559845258
252,1.235535831
253,1.467241098
254,1.194937915
255,1.195291747
256,1.236268234
257,1.189130011
258,1.195063868
259,1.194887999
260,1.23597568
261,1.189166601
262,1.195156265
263,1.195849573
264,1.236492086
265,1.189635717
266,1.195330121
267,1.19531857
268,1.236844646
269,1.189587884
270,1.195227934
271,1.195213056
272,1.23682582
273,1.189289218
274,1.195265757
275,1.195398314
276,1.237021477
277,1.190059894
278,1.195486473
279,1.475834345
280,1.236612598
281,1.190141763
282,1.195156808
283,1.195693492
284,1.236705368
285,1.189557446
286,1.195222587
287,1.196194361
288,1.236750466
289,1.18938232
290,1.195843935
291,1.195754533
292,1.236923071
293,1.189640828
294,1.195844386
295,1.195897789
296,1.991820829
297,2.323990887
298,2.323815528
299,2.32424196
300,13.48989093
301,1.563066712
302,1.196215271
303,1.195793728
304,1.237491717
305,1.190426444
306,1.195840638
307,1.196815078
308,1.23759654
309,1.190074576
310,1.196524166
311,1.196678575
312,1.23813562
313,1.190436323
314,1.196176325
315,1.19587763
316,1.237742672
317,1.190861434
318,1.196170544
319,1.196537052
320,1.237701132
321,1.190503263
322,1.196428071
323,1.196304444
324,1.23831716
325,1.190516969
326,1.196326187
327,1.196488652
328,1.238476172
329,1.19084236
330,1.196484304
331,1.196935575
332,1.238373865
333,1.190929428
334,1.196634342
335,1.19681897
336,1.238020022
337,1.191069779
338,1.196765576
339,1.196586431
340,1.237966319
341,1.191143601
342,1.196902311
343,1.196841173
344,1.238477745
345,1.191401609
346,1.197383488
347,1.197147583
348,1.238534275
349,1.191585413
350,1.68068564
351,1.562716148
352,1.239667461
353,1.191709232
354,1.197803228
355,1.197485405
356,1.238938274
357,1.191956198
358,1.19786653
359,1.197959239
360,1.239373073
361,1.192427377
362,1.198118266
363,1.198120871
364,1.239902494
365,1.192238463
366,1.198730767
367,1.198998594
368,1.240046592
369,1.192250285
370,1.198273174
371,1.198270009
372,1.239660486
373,1.192387219
374,1.198461318
375,1.198438553
376,1.239923525
377,1.193356118
378,1.198543076
379,1.198543897
380,1.240116764
381,1.193208334
382,1.198707473
383,1.19880419
