step,avg_time
1,1.915527281
2,1.598640271
3,1.49299182
4,1.474858456
5,1.440496467
6,1.41428171
7,1.395514786
8,1.388566623
9,1.410848095
10,1.418986694
11,1.420275237
12,1.416723292
13,1.41026785
14,1.430498611
15,1.449311502
16,1.446012938
17,1.440399608
18,1.435032854
19,1.430298303
20,1.42898889
21,1.425635589
22,1.422185752
23,1.419038992
24,1.418602481
25,1.416240803
26,1.41371477
27,1.411422832
28,1.411342476
29,1.409547201
30,1.407576006
31,1.405756629
32,1.405869312
33,1.404433663
34,1.402841533
35,1.4013233
36,1.401511975
37,1.400330708
38,1.3989858
39,1.39771186
40,1.397964803
41,1.397001276
42,1.395898867
43,1.39480649
44,1.395099165
45,1.394255683
46,1.393258444
47,1.392300605
48,1.392641162
49,1.391916615
50,1.391047332
51,1.390222129
52,1.390618089
53,1.389991137
54,1.389216279
55,1.388498917
56,1.38887109
57,1.388306224
58,1.387615235
59,1.386936982
60,1.387298134
61,1.386829929
62,1.386231883
63,1.385664919
64,1.385992181
65,1.385539872
66,1.384964003
67,1.384421476
68,1.384752501
69,1.384338679
70,1.383821412
71,1.383317544
72,1.383640413
73,1.383272087
74,1.382794454
75,1.382347236
76,1.382671679
77,1.382329609
78,1.381889942
79,1.381460131
80,1.38178506
81,1.381492356
82,1.381078045
83,1.380676403
84,1.380991966
85,1.380698862
86,1.380313035
87,1.379936436
88,1.380243302
89,1.379972685
90,1.379614414
91,1.37926394
92,1.379570139
93,1.379326176
94,1.378989483
95,1.378666608
96,1.405414989
97,1.434229536
98,1.462524414
99,1.488693583
100,1.610344863
101,1.602000354
102,1.592235066
103,1.586203056
104,1.57699949
105,1.567756649
106,1.5586781
107,1.549791092
108,1.541243478
109,1.532665084
110,1.524234043
111,1.51595957
112,1.508017476
113,1.500041649
114,1.492197753
115,1.48448738
116,1.47709175
117,1.469649426
118,1.462327356
119,1.455133004
120,1.448231102
121,1.441277627
122,1.434447648
123,1.427713378
124,1.421257106
125,1.414739573
126,1.408318807
127,1.402000329
128,1.39881577
129,1.392677871
130,1.386631955
131,1.380673685
132,1.374964656
133,1.369192794
134,1.363498715
135,1.357889784
136,1.352518203
137,1.347079113
138,1.341712145
139,1.336433668
140,1.331366477
141,1.326231976
142,1.321164641
143,1.316171441
144,1.311386594
145,1.306526779
146,1.301734944
147,1.297005641
148,1.292480849
149,1.287884002
150,1.283386526
151,1.278903347
152,1.274617705
153,1.270259071
154,1.265951481
155,1.261699039
156,1.257632393
157,1.253492122
158,1.249400372
159,1.245359408
160,1.241499046
161,1.237563055
162,1.233670008
163,1.229824382
164,1.226154892
165,1.222407661
166,1.218699101
167,1.215035471
168,1.211544664
169,1.207974105
170,1.204439404
171,1.200943659
172,1.197611326
173,1.19420137
174,1.190826036
175,1.187492234
176,1.184314638
177,1.181059992
178,1.177839319
179,1.174654361
180,1.171618571
181,1.168505055
182,1.165425646
183,1.16237967
184,1.159478992
185,1.156502691
186,1.153555064
187,1.150636614
188,1.147861168
189,1.145008329
190,1.14218009
191,1.139380295
192,1.136721825
193,1.133984367
194,1.131273139
195,1.128588311
196,1.128028472
197,1.128146158
198,1.128267553
199,1.128385785
200,1.181295605
201,1.179207689
202,1.17638169
203,1.17358695
204,1.17091989
205,1.16817778
206,1.165460461
207,1.162770684
208,1.160204188
209,1.157566586
210,1.154951345
211,1.152362888
212,1.149893843
213,1.147354726
214,1.14483583
215,1.142341146
216,1.139965181
217,1.137518599
218,1.135091097
219,1.132681947
220,1.130388879
221,1.128027404
222,1.125683267
223,1.123360335
224,1.121150275
225,1.118870451
226,1.116610111
227,1.11438244
228,1.112250441
229,1.110049665
230,1.107863464
231,1.105698331
232,1.103642906
233,1.10151741
234,1.099406339
235,1.097313285
236,1.095324366
237,1.093268672
238,1.091227786
239,1.0892047
240,1.087284332
241,1.085298118
242,1.08332524
243,1.08136802
244,1.07951151
245,1.077588671
246,1.075678262
247,1.073782618
248,1.071988079
249,1.070127221
250,1.069748354
251,1.067908725
252,1.06616367
253,1.064354979
254,1.062559675
255,1.060779097
256,1.059090259
257,1.057337954
258,1.055595921
259,1.053867474
260,1.052232844
261,1.050532325
262,1.048843118
263,1.047165849
264,1.045581966
265,1.043933863
266,1.042294653
267,1.040666377
268,1.039129272
269,1.037532541
270,1.035940916
271,1.034361539
272,1.032869313
273,1.03131538
274,1.029769666
275,1.028235605
276,1.026789678
277,1.025281095
278,1.023779918
279,1.022289985
280,1.020885361
281,1.019419515
282,1.017961723
283,1.01651383
284,1.015150256
285,1.013725754
286,1.012308494
287,1.010903896
288,1.009578769
289,1.008193385
290,1.006814036
291,1.005446578
292,1.004158073
293,1.002809125
294,1.001467431
295,1.000134141
296,1.000198455
297,1.000702065
298,1.001203645
299,1.001702232
300,1.037791968
301,1.036869547
302,1.035452052
303,1.034043406
304,1.032713821
305,1.031328594
306,1.0299482
307,1.028575557
308,1.027279875
309,1.025929511
310,1.024584638
311,1.023250266
312,1.021991205
313,1.020673889
314,1.019362677
315,1.018060276
316,1.016832859
317,1.015548643
318,1.014271304
319,1.013002059
