step,step_time
1,2.061969155
2,1.387230554
3,1.387067691
4,1.484208345
5,1.449808775
6,1.388065787
7,1.388589708
8,1.39120625
9,1.683710065
10,1.637328272
11,1.589535175
12,1.603653411
13,1.471801734
14,1.798045495
15,1.745756339
16,1.442335187
17,1.853483501
18,2.66215179
19,1.784118779
20,2.009331575
21,1.859655747
22,1.758720336
23,1.997283936
24,1.881406819
25,1.859324457
26,1.778852322
27,1.758371522
28,1.451783318
29,1.495308165
30,1.448377031
31,1.448098022
32,1.450269023
33,1.497382689
34,1.447459641
35,1.446988981
36,1.449786652
37,1.494111805
38,1.446483495
39,1.446780289
40,1.448819054
41,1.493433295
42,1.445777673
43,1.445917803
44,1.448423321
45,1.493184435
46,1.445244664
47,1.445121065
48,1.448295975
49,1.492718966
50,2.091442484
51,2.001489966
52,1.448097351
53,1.492542348
54,1.445116233
55,1.445548187
56,1.447985019
57,1.492655784
58,1.44493319
59,1.445326479
60,1.755481686
61,1.492125431
62,1.444582853
63,1.445941906
64,1.44792302
65,1.492254379
66,1.445226787
67,1.445159467
68,1.448104901
69,1.492209153
70,1.444834649
71,1.44522878
72,1.447475957
73,1.492062871
74,1.445468203
75,1.444659221
76,1.446838376
77,1.492429328
78,1.445016501
79,1.444275941
80,1.447242647
81,1.492381285
82,1.444671977
83,1.444717073
84,1.44755556
85,1.492371416
86,1.445149277
87,1.444854818
88,1.447063912
89,1.492013706
90,1.444301961
91,1.445409759
92,1.447415731
93,1.492384962
94,1.444827756
95,1.444449185
96,4.136390055
97,4.465259353
98,4.3398117
99,4.332053585
100,14.65579588
101,1.219429241
102,0.937125492
103,0.936910237
104,0.968091706
105,0.931908675
106,0.937562344
107,0.936717205
108,0.96796464
109,1.243273806
110,0.9381822
111,0.937205126
112,0.968093314
113,0.932957936
114,0.940199276
115,0.940864169
116,0.9700893
117,0.931813606
118,1.31210705
119,0.937157183
120,0.96791406
121,0.935167331
122,0.937021101
123,0.937205656
124,0.967893751
125,0.933465856
126,0.937111384
127,0.936665162
128,0.968832704
129,0.932106863
130,0.936816345
131,0.936759044
132,0.968480273
133,0.93268029
134,0.937003927
135,0.936707535
136,0.96788128
137,0.933248343
138,1.303432521
139,0.937109086
140,0.970211259
141,0.934161394
142,0.937093867
143,0.936858592
144,1.303110641
145,0.931941575
146,0.939152213
147,0.937151597
148,0.968032981
149,0.931950953
150,1.310968576
151,1.213643475
152,0.967904843
153,0.932562733
154,0.937301155
155,0.936723642
156,0.968309153
157,0.932584864
158,0.937018571
159,0.936880474
160,0.968291728
161,0.931900576
162,1.280974685
163,0.936954217
164,0.968244779
165,0.931811344
166,0.93703359
167,0.937217153
168,0.96824056
169,0.931821233
170,1.297569471
171,0.937550276
172,0.968170806
173,0.932147252
174,0.937227143
175,0.936838834
176,0.968251991
177,0.932679343
178,0.937101309
179,0.936773828
180,0.967930739
181,0.932037084
182,0.936609951
183,0.93656827
184,0.9684073
185,0.931768666
186,0.936606234
187,0.936648997
188,1.30563966
189,0.932587997
190,0.936707039
191,0.937255327
192,0.968325713
193,0.93191619
194,0.936633496
195,0.937398343
196,1.550916369
197,1.804662305
198,1.805512305
199,1.806671527
200,11.86599605
201,1.217171742
202,0.93692475
203,0.937415767
204,0.968051565
205,0.931893187
206,0.937167568
207,0.937147249
208,0.968171737
209,0.932207794
210,0.937253003
211,0.937178418
212,0.968047458
213,0.93217995
214,0.936919019
215,0.937033671
216,0.968545538
217,0.93231473
218,1.290098766
219,0.937086682
220,1.414095563
221,1.294685932
222,0.936928268
223,0.936973344
224,0.968179603
225,0.933095496
226,0.937435785
227,0.936913759
228,0.968728842
229,0.932288429
230,0.937295845
231,0.936817204
232,0.968242694
233,0.93248573
234,0.937280696
235,0.936991008
236,0.96865002
237,0.934390693
238,0.936938126
239,0.937108595
240,0.968179893
241,0.932233153
242,0.937056764
243,0.936690218
244,0.968351905
245,0.931992699
246,0.936791572
247,0.937736863
248,0.968093837
249,0.931694953
250,1.310573829
251,1.530621202
252,0.969990036
253,0.932179822
254,0.937162319
255,0.937508557
256,0.968023843
257,0.932163075
258,0.937025546
259,0.937483729
260,0.96786143
261,0.932489065
262,0.937012991
263,0.936749322
264,0.96841663
265,0.93181281
266,0.937348368
267,0.936897809
268,0.968158443
269,0.932046671
270,0.936684498
271,0.93726086
272,0.967978997
273,0.932234864
274,0.937336525
275,0.937292811
276,0.967699246
277,0.931374394
278,0.937361382
279,0.936614142
280,0.967537515
281,0.932361568
282,0.937039072
283,0.936957124
284,0.970610032
285,0.931982778
286,0.937409035
287,0.936785262
288,0.967721529
289,0.932199386
