step,step_time
1,9.387229164
2,6.638279386
3,6.61798506
4,6.787915507
5,6.97659785
6,6.643807441
7,6.62858879
8,6.741987593
9,7.056288415
10,6.769625747
11,6.801635377
12,6.908150223
13,7.351285188
14,7.265980789
15,7.21633273
16,7.089932082
17,7.665790661
18,6.967782964
19,6.997419316
20,7.053119497
21,7.464267922
22,7.10726913
23,7.00500359
24,7.183490749
25,7.352981366
26,7.020241607
27,7.013660125
28,7.064778563
29,7.34730198
30,7.006344163
31,7.025274471
32,7.078011384
33,7.334104498
34,7.000140077
35,6.982334502
36,7.063658256
37,7.343490748
38,7.003883349
39,7.00378078
40,7.0589636
41,7.343907818
42,7.008877659
43,6.99073452
44,7.066513961
45,7.330125237
46,6.994205818
47,6.989116138
48,7.043446359
49,7.340987579
50,10.05856914
51,9.744531722
52,7.051215797
53,7.330244267
54,6.993805128
55,6.99541292
56,7.050903787
57,7.31128093
58,6.987245736
59,6.99209522
60,7.059109165
61,7.332632174
62,6.994401284
63,6.993132277
64,7.047907949
65,7.332083412
66,6.999482341
67,7.000007896
68,7.07568334
69,7.332440656
70,6.989239754
71,7.005395525
72,7.038578101
73,7.322719281
74,7.004421629
75,6.9921006
76,7.05548656
77,7.320584107
78,7.006543991
79,6.987300049
80,7.066404405
81,7.330711592
82,7.000352356
83,6.984636885
84,7.076039899
85,7.337684142
86,7.095973089
87,6.99251721
88,7.046128189
89,7.343026751
90,6.977489378
91,6.9910445
92,7.049175977
93,7.343759082
94,6.995923749
95,7.003834661
96,15.29907261
97,17.46793124
98,17.78333328
99,17.48974793
100,27.06948483
101,4.150550613
102,3.430117387
103,3.245354221
104,3.595590568
105,3.692464646
106,3.384055985
107,3.244363416
108,3.546426325
109,3.425752063
110,3.253441024
111,3.240358635
112,3.40865811
113,3.250244787
114,3.406226233
115,3.24378217
116,3.413164752
117,3.265836645
118,3.245519462
119,3.247725241
120,3.410887195
121,3.422134081
122,3.248321827
123,3.250517716
124,3.405940029
125,3.259030818
126,3.25385313
127,3.243312118
128,3.412051578
129,3.255402298
130,3.24729646
131,3.247793411
132,3.412668693
133,3.257381359
134,3.250677414
135,3.248193476
136,3.40933976
137,3.263830661
138,3.246288218
139,3.246166702
140,3.411357144
141,3.256137731
142,3.255660979
143,3.249551524
144,3.411316125
145,3.255984786
146,3.25009791
147,3.244290468
148,3.415799921
149,3.261222603
150,4.458722603
151,4.154214412
152,3.409184927
153,3.25456185
154,3.247594714
155,3.247882932
156,3.407633934
157,3.265419387
158,3.244366155
159,3.248881785
160,3.4101527
161,3.256489632
162,3.248981778
163,3.248392709
164,3.408991847
165,3.253177145
166,3.245973882
167,3.248055852
168,3.416918058
169,3.258662914
170,3.244005914
171,3.256628035
172,3.408164595
173,3.269736168
174,3.25022919
175,3.247515346
176,3.408830312
177,3.260424243
178,3.249855807
179,3.261139688
180,3.56213778
181,3.254969645
182,3.251094123
183,3.249586052
184,3.415552705
185,3.271376982
186,3.248185978
187,3.247874546
188,3.408207817
189,3.255547208
190,3.249692936
191,3.258594317
192,3.411232783
193,3.262339055
194,3.247739545
195,3.252705838
196,5.566933795
197,6.298320872
198,6.300808659
199,6.299799972
200,21.33217487
201,4.154789801
202,3.250151641
203,3.251604103
204,3.422846609
205,3.26201789
206,3.250912453
207,3.261940971
208,3.417938528
209,3.260020354
210,3.253486697
211,3.255573696
212,3.41789242
213,3.257073767
214,3.253246217
215,3.250951108
216,3.414080104
217,3.269802739
218,3.253470836
219,3.254421236
220,3.414378793
221,3.25705303
222,3.248924376
223,3.251543376
224,3.418405988
225,3.263092762
226,3.253453213
227,3.259457674
228,3.414834174
229,3.257242668
230,3.253745618
231,3.251853064
232,3.416792134
233,3.268752383
234,3.255935104
