step,avg_time
1,1.234177882
2,1.024653879
3,0.9544802437
4,0.9495415152
5,0.9227752922
6,0.9048292145
7,0.8919765844
8,0.8876088901
9,0.8806698662
10,0.8756667617
11,0.8718700273
12,0.8721325793
13,0.8697082542
14,0.8678004021
15,0.8662888675
16,0.8674864764
17,0.8857567863
18,0.8837519968
19,0.9012273418
20,0.900623893
21,0.8982653588
22,0.8961390745
23,0.8942397682
24,0.8941314555
25,0.8924537967
26,0.8909154026
27,0.90104883
28,0.9007086571
29,0.8990361993
30,0.909751288
31,0.9078955587
32,0.9074157854
33,0.9057696998
34,0.9041956229
35,0.9027495106
36,0.9024443173
37,0.9010915296
38,0.8998067974
39,0.8985890877
40,0.8984122669
41,0.8972829607
42,0.8962027311
43,0.8951777809
44,0.8950793797
45,0.8941214111
46,0.8931996588
47,0.8923318533
48,0.8923128986
49,0.8914849585
50,0.890711325
51,0.8899619536
52,0.890013184
53,0.8893033501
54,0.8886196916
55,0.8879664944
56,0.8880336223
57,0.8874050264
58,0.8868025603
59,0.8862327347
60,0.8863217435
61,0.8857571173
62,0.8852191166
63,0.8847071523
64,0.8848219848
65,0.8843227114
66,0.8838516242
67,0.8833879952
68,0.8835223928
69,0.8830787307
70,0.8826666977
71,0.8822499004
72,0.8823849152
73,0.8820264138
74,0.8816419193
75,0.881278283
76,0.8814235451
77,0.8810526884
78,0.8806986522
79,0.8803927995
80,0.8805446883
81,0.8802143316
82,0.8798950388
83,0.8795862113
84,0.8797474146
85,0.8794417985
86,0.8791473212
87,0.8788610081
88,0.8790284424
89,0.8787662725
90,0.8784905762
91,0.8782265031
92,0.8783928456
93,0.8781441088
94,0.8778925231
95,0.8776491305
96,0.8910052338
97,0.906217259
98,0.921095443
99,0.9357346576
100,0.9859360204
101,0.9832830267
102,0.9791614679
103,0.9751189708
104,0.9713385961
105,0.9674216581
106,0.963610995
107,0.9598623743
108,0.956360337
109,0.9527436265
110,0.9492045948
111,0.9457217962
112,0.942474063
113,0.9390974442
114,0.9357956904
115,0.932549354
116,0.9295266001
117,0.9263690403
118,0.9232840012
119,0.9202524754
120,0.9174321843
121,0.9144785949
122,0.9115937011
123,0.9087559666
124,0.9061174302
125,0.9033521111
126,0.9006478677
127,0.8979884421
128,0.8955189344
129,0.8929166997
130,0.8903765433
131,0.8878753217
132,0.8855553671
133,0.8831096909
134,0.8807170669
135,0.8783613523
136,0.8761821592
137,0.8738780287
138,0.871628651
139,0.8694058132
140,0.867352224
141,0.8651731534
142,0.8630416182
143,0.8609440496
144,0.8590045955
145,0.8569493712
146,0.8549326846
147,0.8529428307
148,0.8511100622
149,0.8491575144
150,0.8472495167
151,0.8453647391
152,0.8436298137
153,0.8417782046
154,0.8399671927
155,0.8381780472
156,0.8365377086
157,0.8347788723
158,0.8330541419
159,0.8313515526
160,0.8297878736
161,0.8281109543
162,0.8264712762
163,0.8248532481
164,0.8233691073
165,0.821772215
166,0.820208547
167,0.8186686911
168,0.8172584033
169,0.8157368992
170,0.8142534128
171,0.8127822806
172,0.8114379454
173,0.8099829293
174,0.8085597529
175,0.807155398
176,0.8058736606
177,0.804482917
178,0.8031257381
179,0.8017825084
180,0.8005593604
181,0.7992323348
182,0.7979305991
183,0.7966441242
184,0.7954755554
185,0.794206182
186,0.7929621553
187,0.7917282091
188,0.7906099748
189,0.7893891535
190,0.7881948693
191,0.7870122458
192,0.7859419199
193,0.7847700202
194,0.7836253797
195,0.7824922427
196,0.7832381245
197,0.784684237
198,0.7861146636
199,0.7875322004
200,0.8040825741
201,0.8036504001
202,0.802457975
203,0.8012743817
204,0.8001979597
205,0.7990271124
206,0.7978798204
207,0.796743077
208,0.7957107531
209,0.7945825696
210,0.7934757901
211,0.7923839767
212,0.7913885818
213,0.790306171
214,0.789240827
215,0.7881855597
216,0.7872293184
217,0.7861820817
218,0.7851563302
219,0.7841429096
220,0.7832215304
221,0.7822131456
222,0.7812251075
223,0.7802438757
224,0.7793575477
225,0.7783843955
226,0.7774295957
227,0.7764822653
228,0.7756279224
229,0.7746863401
230,0.773762152
231,0.7728471857
232,0.772024073
233,0.7711148147
234,0.7702228956
235,0.7693389952
236,0.7685437406
237,0.7676639385
238,0.766802728
239,0.7659465368
240,0.7651785857
241,0.7643261456
242,0.7634924703
243,0.7626665322
244,0.7619249277
245,0.7611000036
246,0.7602923586
247,0.7594898997
248,0.7587752231
249,0.757976258
250,0.7571943215
251,0.7564182601
252,0.7557242585
253,0.7549503284
254,0.7541916068
255,0.75344262
256,0.7527711839
257,0.7533485632
258,0.7526083482
259,0.7518739154
260,0.7512201004
261,0.7504867101
262,0.7497675585
263,0.7490554791
264,0.7484211062
265,0.7477094902
266,0.747011518
267,0.7463218607
268,0.7457068943
269,0.7450141586
270,0.7443367856
271,0.7436649885
272,0.7430706389
273,0.7423988044
274,0.7417412146
275,0.741087891
276,0.7405118787
277,0.7398586694
278,0.7392223587
279,0.7385886146
280,0.7380288258
281,0.7373950356
282,0.7367759097
283,0.7361622608
284,0.7356175217
285,0.7349993722
286,0.7343948006
287,0.7337949598
288,0.7332643398
289,0.7326633206
290,0.7320764143
291,0.7314959644
292,0.7309816591
293,0.7303973081
294,0.7298254467
295,0.7292595666
296,0.729933506
297,0.7310738318
298,0.7322057598
299,0.7333286655
300,0.7457950353
301,0.746920068
302,0.7463100385
303,0.7457066309
304,0.7451662801
305,0.7445595313
306,0.7439638149
307,0.7433717063
308,0.7428484303
309,0.7422576174
310,0.7416807888
311,0.7411049964
312,0.7405933842
313,0.7400168901
314,0.7394512451
315,0.7388892179
316,0.7383914254
317,0.737828051
318,0.7372751732
319,0.7367286756
320,0.7362424634
321,0.7356949135
322,0.735156051
323,0.7346212176
324,0.7341496914
325,0.7336141716
326,0.7330891098
327,0.7325661842
328,0.7321052235
329,0.7315842417
330,0.7310736043
331,0.7305637141
332,0.7301148514
333,0.7296036034
334,0.7291031372
335,0.7286053178
336,0.7281679545
337,0.7276696115
338,0.7271809049
339,0.7266969272
340,0.7262718924
341,0.7257846419
342,0.7253069763
343,0.7248325325
344,0.7244150684
345,0.7239388581
346,0.723472133
347,0.7230081333
348,0.7226013956
349,0.722136097
350,0.7216787377
351,0.7212269769
352,0.7208297656
353,0.7203731026
354,0.7199276433
355,0.7204810092
356,0.7200919585
357,0.7196433007
358,0.7192040482
359,0.7187677202
360,0.7183853503
361,0.7179460234
362,0.7175152165
363,0.7170873124
364,0.7167142399
365,0.7162853188
366,0.7158648208
367,0.7154467154
368,0.7150823972
369,0.7146619995
370,0.7142511727
371,0.7138419528
372,0.7134862136
373,0.7130765012
374,0.7126743683
375,0.7122746399
376,0.7119266176
377,0.7115235509
378,0.7111290212
379,0.7107383176
380,0.7103986592
381,0.7100039033
382,0.7096165741
383,0.709232096
384,0.7088988809
385,0.7085119949
386,0.7081335316
387,0.7077566084
388,0.7074306998
389,0.7070516502
390,0.7066799291
391,0.7063107006
392,0.7059914622
393,0.70562884
394,0.7052668413
395,0.7049048439
396,0.7054695071
397,0.7063830575
398,0.7072917386
399,0.7081953843
400,0.7167742732
401,0.7167783242
402,0.7163953721
403,0.7160128577
404,0.7156802073
405,0.7152966724
406,0.7149210634
407,0.714546865
408,0.7142211739
409,0.7138447229
410,0.7134752721
411,0.713107582
412,0.7127884502
413,0.7124182736
414,0.7120560845
415,0.7116945058
416,0.7113816539
417,0.7110193582
418,0.7106635118
419,0.7103099447
420,0.7100024335
421,0.7096466369
422,0.7092980177
423,0.7089512613
424,0.7086517754
425,0.7083036508
426,0.7079623396
427,0.707621739
428,0.7073276708
429,0.7069831826
430,0.7066466447
431,0.7063119414
432,0.7060226252
433,0.7056844699
434,0.7053536859
435,0.7050240522
436,0.704741318
437,0.7044171842
438,0.7040933167
439,0.7037699441
440,0.7034920151
441,0.703166237
442,0.7028483656
443,0.7025319247
444,0.7022590537
445,0.7019401567
446,0.7016257888
447,0.701314605
448,0.7010473943
449,0.700734596
450,0.7004270767
451,0.700120421
452,0.6998577792
453,0.6995497372
454,0.6992469384
455,0.6989457312
456,0.6986871679
457,0.6983829604
458,0.6980856931
459,0.6977892554
460,0.6975365406
461,0.6972390764
462,0.6969477223
463,0.6966621228
464,0.6964134398
465,0.6961205566
466,0.6958331662
467,0.6955474746
468,0.6953031478
469,0.6950151658
470,0.6947324512
471,0.6944531213
472,0.6942138525
473,0.6939306759
474,0.6936530889
475,0.693376815
