0.0334434510,0.0022877220,0.0328380450,0.0018879790,0.0018842110,0.0280258240,0.0021272620,0.0021313520,0.0021441820,0.0016728120,0.0016723630,0.0332803500,0.0323974950,0.0018425480,0.0014116980,0.0012676740,0.0012656380,0.0014108250,0.0004991830,0.0004796350,0.0004891670,0.0004158140,0.0004248010,0.0006805370,0.0004800200,0.0004773030,0.0334659450,0.0004342780,0.0004200900,0.0349582020,0.0004254610,0.0004112840,0.0334309720,0.0003816870,0.0003652070,0.0013132880,0.0004130050,0.0004179490,0.0004120760,0.0003553260,0.0003621210,0.0009110910,0.0004091090,0.0004210850,0.0004160850,0.0003737300,0.0003699020,0.0003655270
7,7,1,1,1,4,7,7,1,1,1,3,2,2,2,4,4,3,2,2,4,4,4,3,3,3,5,5,5,0,3,5,6,6,6,0,5,5,6,6,6,0,6,0,0,0,0,0
0.0721132050,0.0645784898,0.0749841388,0.0508679679,0.0500207166,0.0588589540,0.0682880897,0.0676502393,0.0682428485,0.0529129295,0.0529921945,0.0613100301,0.0359841478,0.0278866515,0.0276663958,0.0224601357,0.0225084164,0.0229769665,0.0065928409,0.0064905433,0.0066104883,0.0054665551,0.0055484536,0.0057565865,0.0066446376,0.0065097456,0.0137730139,0.0057692886,0.0056211938,0.0140098898,0.0055307679,0.0056320027,0.0128274563,0.0049968052,0.0049777387,0.0051681632,0.0055469364,0.0055783323,0.0056147204,0.0048546530,0.0048681844,0.0050917569,0.0054995768,0.0055970465,0.0054510343,0.0048779295,0.0048782466,0.0048154088
7,7,1,1,1,4,7,7,1,1,1,3,2,2,2,4,4,3,2,2,4,4,4,3,3,3,5,5,5,0,3,5,6,6,6,0,5,5,6,6,6,0,6,0,0,0,0,0
0.0655354048,0.0676271063,0.0693106013,0.0533534980,0.0566050022,0.0540893000,0.0717587995,0.0685245143,0.0697041613,0.0538839041,0.0530839081,0.0529137349,0.0277699153,0.0277458498,0.0277467947,0.0227200175,0.0223744056,0.0225934482,0.0064187957,0.0063982845,0.0064305830,0.0054126171,0.0053596638,0.0054086721,0.0063923421,0.0064274708,0.0063121095,0.0053881340,0.0053073455,0.0053849610,0.0052992944,0.0053356509,0.0054333727,0.0047353543,0.0047741593,0.0047489811,0.0053518370,0.0053297128,0.0053908540,0.0047446905,0.0047303923,0.0047360282,0.0053092418,0.0053254965,0.0053635032,0.0047155339,0.0047146033,0.0047343849
4,1,3,1,0,5,6,0,7,2,5,2,7,6,4,3,6,3,1,7,2,2,7,3,4,0,7,6,2,4,4,4,5,7,5,0,5,6,1,1,2,6,3,0,1,3,4,0
0.0656863442,0.0675712296,0.0696701900,0.0544150894,0.0547214207,0.0522773548,0.0697471319,0.0689541524,0.0699950382,0.0536424470,0.0534379013,0.0528111806,0.0277645732,0.0277702372,0.0278298824,0.0226174706,0.0225166368,0.0225875198,0.0064074246,0.0063942205,0.0064133599,0.0054019381,0.0053410479,0.0054016022,0.0063908245,0.0063931267,0.0063028671,0.0053953224,0.0052909127,0.0053698844,0.0053090919,0.0053179656,0.0054364006,0.0047209466,0.0047746255,0.0047385331,0.0053673534,0.0053225662,0.0053906898,0.0047317998,0.0047190927,0.0047237212,0.0053078540,0.0053251904,0.0053988829,0.0047086336,0.0047120213,0.0047223220
4,1,3,1,0,5,6,0,7,2,5,2,7,6,4,3,6,3,1,7,2,2,7,3,4,0,7,6,2,4,4,4,5,7,5,0,5,6,1,1,2,6,3,0,1,3,4,0
0.0656843219,0.0683550916,0.0686940482,0.0547166903,0.0568608785,0.0532090932,0.0694457140,0.0686215471,0.0693388063,0.0534220473,0.0532458744,0.0528719598,0.0278318970,0.0277278351,0.0278988754,0.0227560070,0.0223804945,0.0224662265,0.0064076086,0.0063928923,0.0064264060,0.0054061719,0.0053553891,0.0054044637,0.0063855590,0.0063973431,0.0062923158,0.0053803276,0.0053074294,0.0053549817,0.0053191195,0.0053309331,0.0054365250,0.0047310066,0.0047751960,0.0047313866,0.0053372475,0.0053141088,0.0053811162,0.0047313180,0.0047237161,0.0047225434,0.0053050795,0.0053135292,0.0053772929,0.0047111006,0.0047119459,0.0047256540
4,1,3,1,0,5,6,0,7,2,5,2,7,6,4,3,6,3,1,7,2,2,7,3,4,0,7,6,2,4,4,4,5,7,5,0,5,6,1,1,2,6,3,0,1,3,4,0
0.0659361105,0.0679006879,0.0660063532,0.0541937942,0.0574484419,0.0543141164,0.0697873620,0.0678808364,0.0696128400,0.0536844826,0.0531147172,0.0531341813,0.0276604852,0.0278796931,0.0279043533,0.0225965003,0.0225016538,0.0224485901,0.0064130655,0.0063954026,0.0064203957,0.0054052585,0.0053522204,0.0054100894,0.0063834220,0.0063903449,0.0062967115,0.0053859834,0.0052995570,0.0053558246,0.0052996448,0.0053175556,0.0054365179,0.0047200170,0.0047766654,0.0047249086,0.0053487783,0.0053139040,0.0053983245,0.0047304777,0.0047212623,0.0047306129,0.0053008999,0.0053066191,0.0054038413,0.0047085071,0.0047059608,0.0047043124
4,1,3,1,0,5,6,0,7,2,5,2,7,6,4,3,6,3,1,7,2,2,7,3,4,0,7,6,2,4,4,4,5,7,5,0,5,6,1,1,2,6,3,0,1,3,4,0
