0.0884771730,nan,0.0000000000,138369072.0000000000,1853440.0000000000,262656.0000000000,0.0000000000,512.0000000000,1024.0000000000,0.0000000000,6.0000000000,0.0775380470,nan,0.0000000000,48658480.0000000000,454656.0000000000,262656.0000000000,0.0000000000,1536.0000000000,1024.0000000000,0.0000000000,6.0000000000,0.0158000000,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000,0.0000000000,2560.0000000000,1024.0000000000,0.0000000000,2.0000000000,0.0159095740,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000
3,0,-9223372036854775808,0,138369072,1853440,262656,0,512,1536,0,0,0,-9223372036854775808,0,48658480,454656,262656,0,1536,1536,0,6,0,-9223372036854775808,0,19560496,0,262656,0,2560,1536,0,7,0,-9223372036854775808,0,19560496,0
0.1127272260,nan,0.0000000000,138228320.0000000000,1856889.0000000000,262656.0000000000,0.0000000000,512.0000000000,1024.0000000000,0.0000000000,7.0000000000,0.0336953460,nan,0.0000000000,48659152.0000000000,454646.0000000000,262656.0000000000,0.0000000000,1536.0000000000,1024.0000000000,0.0000000000,2.0000000000,0.0079910940,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000,0.0000000000,2560.0000000000,1024.0000000000,0.0000000000,6.0000000000,0.0079821970,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000
0,0,-9223372036854775808,0,138431200,1856806,262656,0,512,1536,0,4,0,-9223372036854775808,0,48658096,454513,262656,0,1536,1536,0,3,0,-9223372036854775808,0,19560496,0,262656,0,2560,1536,0,4,0,-9223372036854775808,0,19560496,0
0.1032307370,nan,0.0000000000,138153648.0000000000,1870253.0000000000,262656.0000000000,0.0000000000,512.0000000000,1024.0000000000,0.0000000000,7.0000000000,0.0332916290,nan,0.0000000000,48657776.0000000000,454672.0000000000,262656.0000000000,0.0000000000,1536.0000000000,1024.0000000000,0.0000000000,2.0000000000,0.0079770490,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000,0.0000000000,2560.0000000000,1024.0000000000,0.0000000000,6.0000000000,0.0079897160,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000
0,0,-9223372036854775808,0,139179584,1871660,262656,0,512,1536,0,4,0,-9223372036854775808,0,48659376,454365,262656,0,1536,1536,0,3,0,-9223372036854775808,0,19560496,0,262656,0,2560,1536,0,4,0,-9223372036854775808,0,19560496,0
0.1039728820,nan,0.0000000000,137806512.0000000000,1887193.0000000000,262656.0000000000,0.0000000000,512.0000000000,1024.0000000000,0.0000000000,7.0000000000,0.0332448560,nan,0.0000000000,48658528.0000000000,454633.0000000000,262656.0000000000,0.0000000000,1536.0000000000,1024.0000000000,0.0000000000,2.0000000000,0.0079855140,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000,0.0000000000,2560.0000000000,1024.0000000000,0.0000000000,6.0000000000,0.0079873250,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000
0,0,-9223372036854775808,0,140128224,1892396,262656,0,512,1536,0,4,0,-9223372036854775808,0,48658240,454196,262656,0,1536,1536,0,3,0,-9223372036854775808,0,19560496,0,262656,0,2560,1536,0,4,0,-9223372036854775808,0,19560496,0
0.1032729840,nan,0.0000000000,135512320.0000000000,1891454.0000000000,262656.0000000000,0.0000000000,512.0000000000,1024.0000000000,0.0000000000,7.0000000000,0.0332694610,nan,0.0000000000,48657072.0000000000,454664.0000000000,262656.0000000000,0.0000000000,1536.0000000000,1024.0000000000,0.0000000000,2.0000000000,0.0079774470,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000,0.0000000000,2560.0000000000,1024.0000000000,0.0000000000,6.0000000000,0.0079883470,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000
0,0,-9223372036854775808,0,140379984,1915782,262656,0,512,1536,0,4,0,-9223372036854775808,0,48659840,453965,262656,0,1536,1536,0,3,0,-9223372036854775808,0,19560496,0,262656,0,2560,1536,0,4,0,-9223372036854775808,0,19560496,0
0.1045955610,nan,0.0000000000,130375248.0000000000,1841594.0000000000,262656.0000000000,0.0000000000,512.0000000000,1024.0000000000,0.0000000000,7.0000000000,0.0332327290,nan,0.0000000000,48655904.0000000000,454610.0000000000,262656.0000000000,0.0000000000,1536.0000000000,1024.0000000000,0.0000000000,2.0000000000,0.0079988470,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000,0.0000000000,2560.0000000000,1024.0000000000,0.0000000000,6.0000000000,0.0079820420,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000
0,0,-9223372036854775808,0,137715184,1942058,262656,0,512,1536,0,4,0,-9223372036854775808,0,48656672,453893,262656,0,1536,1536,0,3,0,-9223372036854775808,0,19560496,0,262656,0,2560,1536,0,4,0,-9223372036854775808,0,19560496,0
0.1045938510,nan,0.0000000000,129978176.0000000000,1829043.0000000000,262656.0000000000,0.0000000000,512.0000000000,1024.0000000000,0.0000000000,7.0000000000,0.0332430900,nan,0.0000000000,48660592.0000000000,454650.0000000000,262656.0000000000,0.0000000000,1536.0000000000,1024.0000000000,0.0000000000,2.0000000000,0.0079861300,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000,0.0000000000,2560.0000000000,1024.0000000000,0.0000000000,6.0000000000,0.0080024690,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000
0,0,-9223372036854775808,0,136946992,1957869,262656,0,512,1536,0,4,0,-9223372036854775808,0,48658384,453770,262656,0,1536,1536,0,3,0,-9223372036854775808,0,19560496,0,262656,0,2560,1536,0,4,0,-9223372036854775808,0,19560496,0
0.1035046000,nan,0.0000000000,129614448.0000000000,1791298.0000000000,262656.0000000000,0.0000000000,512.0000000000,1024.0000000000,0.0000000000,7.0000000000,0.0332626300,nan,0.0000000000,48659808.0000000000,454578.0000000000,262656.0000000000,0.0000000000,1536.0000000000,1024.0000000000,0.0000000000,2.0000000000,0.0079912310,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000,0.0000000000,2560.0000000000,1024.0000000000,0.0000000000,6.0000000000,0.0079785120,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000
0,0,-9223372036854775808,0,134799344,1980921,262656,0,512,1536,0,4,0,-9223372036854775808,0,48654640,453698,262656,0,1536,1536,0,3,0,-9223372036854775808,0,19560496,0,262656,0,2560,1536,0,4,0,-9223372036854775808,0,19560496,0
0.1037996230,nan,0.0000000000,129229840.0000000000,1772136.0000000000,262656.0000000000,0.0000000000,512.0000000000,1024.0000000000,0.0000000000,7.0000000000,0.0332293290,nan,0.0000000000,48659408.0000000000,454532.0000000000,262656.0000000000,0.0000000000,1536.0000000000,1024.0000000000,0.0000000000,2.0000000000,0.0079677770,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000,0.0000000000,2560.0000000000,1024.0000000000,0.0000000000,6.0000000000,0.0079713780,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000
0,0,-9223372036854775808,0,133816928,1996849,262656,0,512,1536,0,4,0,-9223372036854775808,0,48652416,453564,262656,0,1536,1536,0,3,0,-9223372036854775808,0,19560496,0,262656,0,2560,1536,0,4,0,-9223372036854775808,0,19560496,0
