0.0908619420,nan,0.0000000000,138369072.0000000000,1853440.0000000000,262656.0000000000,0.0000000000,512.0000000000,1024.0000000000,0.0000000000,6.0000000000,0.0770642090,nan,0.0000000000,48658480.0000000000,454656.0000000000,262656.0000000000,0.0000000000,1536.0000000000,1024.0000000000,0.0000000000,6.0000000000,0.0159143060,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000,0.0000000000,2560.0000000000,1024.0000000000,0.0000000000,2.0000000000,0.0158751860,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000
3,0,-9223372036854775808,0,138369072,1853440,262656,0,512,1536,0,0,0,-9223372036854775808,0,48658480,454656,262656,0,1536,1536,0,6,0,-9223372036854775808,0,19560496,0,262656,0,2560,1536,0,7,0,-9223372036854775808,0,19560496,0
0.1516510890,nan,0.0000000000,138228320.0000000000,1856889.0000000000,262656.0000000000,0.0000000000,512.0000000000,1024.0000000000,0.0000000000,7.0000000000,0.0337148700,nan,0.0000000000,48659152.0000000000,454646.0000000000,262656.0000000000,0.0000000000,1536.0000000000,1024.0000000000,0.0000000000,3.0000000000,0.0079811080,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000,0.0000000000,2560.0000000000,1024.0000000000,0.0000000000,5.0000000000,0.0080098960,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000
1,0,-9223372036854775808,0,138431200,1856806,262656,0,512,1536,0,4,0,-9223372036854775808,0,48658096,454513,262656,0,1536,1536,0,6,0,-9223372036854775808,0,19560496,0,262656,0,2560,1536,0,2,0,-9223372036854775808,0,19560496,0
0.1032967870,nan,0.0000000000,138153648.0000000000,1870253.0000000000,262656.0000000000,0.0000000000,512.0000000000,1024.0000000000,0.0000000000,7.0000000000,0.0332759710,nan,0.0000000000,48657776.0000000000,454672.0000000000,262656.0000000000,0.0000000000,1536.0000000000,1024.0000000000,0.0000000000,3.0000000000,0.0079824200,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000,0.0000000000,2560.0000000000,1024.0000000000,0.0000000000,5.0000000000,0.0080105040,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000
1,0,-9223372036854775808,0,139179584,1871660,262656,0,512,1536,0,4,0,-9223372036854775808,0,48659376,454365,262656,0,1536,1536,0,6,0,-9223372036854775808,0,19560496,0,262656,0,2560,1536,0,2,0,-9223372036854775808,0,19560496,0
0.1041584810,nan,0.0000000000,137806512.0000000000,1887193.0000000000,262656.0000000000,0.0000000000,512.0000000000,1024.0000000000,0.0000000000,7.0000000000,0.0332813400,nan,0.0000000000,48658480.0000000000,454633.0000000000,262656.0000000000,0.0000000000,1536.0000000000,1024.0000000000,0.0000000000,3.0000000000,0.0079807270,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000,0.0000000000,2560.0000000000,1024.0000000000,0.0000000000,5.0000000000,0.0080205540,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000
1,0,-9223372036854775808,0,140128224,1892396,262656,0,512,1536,0,4,0,-9223372036854775808,0,48658240,454196,262656,0,1536,1536,0,6,0,-9223372036854775808,0,19560496,0,262656,0,2560,1536,0,2,0,-9223372036854775808,0,19560496,0
0.1033815200,nan,0.0000000000,135512320.0000000000,1891454.0000000000,262656.0000000000,0.0000000000,512.0000000000,1024.0000000000,0.0000000000,7.0000000000,0.0332938060,nan,0.0000000000,48657072.0000000000,454664.0000000000,262656.0000000000,0.0000000000,1536.0000000000,1024.0000000000,0.0000000000,3.0000000000,0.0079754990,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000,0.0000000000,2560.0000000000,1024.0000000000,0.0000000000,5.0000000000,0.0080072470,nan,0.0000000000,19560496.0000000000,0.0000000000,262656.0000000000
1,0,-9223372036854775808,0,140379984,1915782,262656,0,512,1536,0,4,0,-9223372036854775808,0,48659840,453965,262656,0,1536,1536,0,6,0,-9223372036854775808,0,19560496,0,262656,0,2560,1536,0,2,0,-9223372036854775808,0,19560496,0
