1615219.3999999999,1615219.3999999999,1615219.3999999999,1211565.6399999999,1211565.6399999999,1211565.6399999999,1832348.3600000001,1832348.3600000001,1832348.3600000001,1374412.3600000001,1374412.3600000001,1374412.3600000001,569848.5200000000,569848.5200000000,569848.5200000000,427537.4800000000,427537.4800000000,427537.4800000000,39283.4000000000,39283.4000000000,39283.4000000000,29613.6400000000,29613.6400000000,29613.6400000000,39283.4000000000,39283.4000000000,39283.4000000000,29613.6400000000,29613.6400000000,29613.6400000000,29632.2000000000,29632.2000000000,29632.2000000000,22338.1200000000,22338.1200000000,22338.1200000000,29632.2000000000,29632.2000000000,29632.2000000000,22338.1200000000,22338.1200000000,22338.1200000000,29632.2000000000,29632.2000000000,29632.2000000000,22338.1200000000,22338.1200000000,22338.1200000000
7,7,1,1,1,4,7,7,1,1,1,3,2,2,2,4,4,3,2,2,4,4,4,3,3,3,5,5,5,0,3,5,6,6,6,0,5,5,6,6,6,0,6,0,0,0,0,0
1611989.2100000000,1612237.1599999999,1614810.7100000000,1212837.8799999999,1214418.7749999999,1212946.4650000001,1831951.6399999999,1832352.6350000000,1832357.7649999999,1374460.2400000000,1374437.1550000000,1374019.9150000000,569726.2550000000,569813.4650000000,569836.5500000000,427528.9300000000,427508.4100000000,427359.6400000000,39283.4000000000,39283.4000000000,39283.4000000000,29613.6400000000,29613.6400000000,29613.6400000000,39283.4000000000,39283.4000000000,39283.4000000000,29613.6400000000,29613.6400000000,29613.6400000000,29632.2000000000,29632.2000000000,29632.2000000000,22338.1200000000,22338.1200000000,22338.1200000000,29632.2000000000,29632.2000000000,29632.2000000000,22338.1200000000,22338.1200000000,22338.1200000000,29632.2000000000,29632.2000000000,29632.2000000000,22338.1200000000,22338.1200000000,22338.1200000000
7,7,1,1,1,4,7,7,1,1,1,3,2,2,2,4,4,3,2,2,4,4,4,3,3,3,5,5,5,0,3,5,6,6,6,0,5,5,6,6,6,0,6,0,0,0,0,0
1600566.4099999999,1599654.1250000000,1613576.9450000001,1214281.1200000001,1229654.0200000000,1220086.5700000001,1831683.1699999999,1832397.9500000000,1832362.8950000000,1374389.2749999999,1374399.5349999999,1373804.4550000001,569539.8650000000,569791.2350000000,569833.1300000000,427552.8700000000,427537.4800000000,427233.1000000000,39283.4000000000,39283.4000000000,39283.4000000000,29613.6400000000,29613.6400000000,29613.6400000000,39283.4000000000,39283.4000000000,39283.4000000000,29613.6400000000,29613.6400000000,29613.6400000000,29632.2000000000,29632.2000000000,29632.2000000000,22338.1200000000,22338.1200000000,22338.1200000000,29632.2000000000,29632.2000000000,29632.2000000000,22338.1200000000,22338.1200000000,22338.1200000000,29632.2000000000,29632.2000000000,29632.2000000000,22338.1200000000,22338.1200000000,22338.1200000000
1,0,4,0,5,1,7,6,2,5,3,3,6,7,4,2,4,2,6,7,6,4,4,2,7,6,7,5,4,5,5,7,4,2,3,2,5,6,7,3,2,4,6,7,6,5,2,5
1592142.0950000000,1580022.4700000000,1605747.7100000000,1223453.5600000001,1245107.2900000000,1229341.9450000001,1831558.3400000001,1832387.6899999999,1832422.7450000001,1374342.2500000000,1374364.4800000000,1373701.8550000000,569350.0550000001,569821.1600000000,569827.1450000000,427545.1750000000,427564.8400000000,427019.3500000000,39283.4000000000,39283.4000000000,39283.4000000000,29613.6400000000,29613.6400000000,29613.6400000000,39283.4000000000,39283.4000000000,39283.4000000000,29613.6400000000,29613.6400000000,29613.6400000000,29632.2000000000,29632.2000000000,29632.2000000000,22338.1200000000,22338.1200000000,22338.1200000000,29632.2000000000,29632.2000000000,29632.2000000000,22338.1200000000,22338.1200000000,22338.1200000000,29632.2000000000,29632.2000000000,29632.2000000000,22338.1200000000,22338.1200000000,22338.1200000000
1,0,4,0,5,1,7,6,2,5,3,3,6,7,4,2,4,2,6,7,6,4,4,2,7,6,7,5,4,5,5,7,4,2,3,2,5,6,7,3,2,4,6,7,6,5,2,5
1578396.2600000000,1577983.2949999999,1571888.8550000000,1211332.2250000001,1271151.4450000001,1239910.6000000001,1831395.8899999999,1832397.9500000000,1832328.6950000001,1374343.1050000000,1374437.1550000000,1373518.8850000000,569217.5300000000,569783.5400000000,569856.2150000000,427603.3150000000,427563.1300000000,426858.6100000000,39283.4000000000,39283.4000000000,39283.4000000000,29613.6400000000,29613.6400000000,29613.6400000000,39283.4000000000,39283.4000000000,39283.4000000000,29613.6400000000,29613.6400000000,29613.6400000000,29632.2000000000,29632.2000000000,29632.2000000000,22338.1200000000,22338.1200000000,22338.1200000000,29632.2000000000,29632.2000000000,29632.2000000000,22338.1200000000,22338.1200000000,22338.1200000000,29632.2000000000,29632.2000000000,29632.2000000000,22338.1200000000,22338.1200000000,22338.1200000000
1,0,4,0,5,1,7,6,2,5,3,3,6,7,4,2,4,2,6,7,6,4,4,2,7,6,7,5,4,5,5,7,4,2,3,2,5,6,7,3,2,4,6,7,6,5,2,5
1581611.9150000000,1538799.5000000000,1492259.2849999999,1159874.9050000000,1277983.7500000000,1251934.4650000001,1831303.5500000000,1832333.8250000000,1832424.4550000001,1374316.6000000001,1374405.5200000000,1373410.3000000000,569054.2250000000,569840.8250000000,569819.4500000000,427591.3450000000,427581.0850000000,426685.0450000000,39283.4000000000,39283.4000000000,39283.4000000000,29613.6400000000,29613.6400000000,29613.6400000000,39283.4000000000,39283.4000000000,39283.4000000000,29613.6400000000,29613.6400000000,29613.6400000000,29632.2000000000,29632.2000000000,29632.2000000000,22338.1200000000,22338.1200000000,22338.1200000000,29632.2000000000,29632.2000000000,29632.2000000000,22338.1200000000,22338.1200000000,22338.1200000000,29632.2000000000,29632.2000000000,29632.2000000000,22338.1200000000,22338.1200000000,22338.1200000000
1,0,4,0,5,1,7,6,2,5,3,3,6,7,4,2,4,2,6,7,6,4,4,2,7,6,7,5,4,5,5,7,4,2,3,2,5,6,7,3,2,4,6,7,6,5,2,5
1580604.7250000001,1507697.1650000000,1487313.9650000001,1140964.8700000001,1292953.0900000001,1255641.7450000001,1831151.3600000001,1832366.3149999999,1832473.1899999999,1374304.6299999999,1374437.1550000000,1373333.3500000001,568925.9750000000,569801.4950000000,569735.6600000000,427643.5000000000,427536.6250000000,426555.9400000000,39283.4000000000,39283.4000000000,39283.4000000000,29613.6400000000,29613.6400000000,29613.6400000000,39283.4000000000,39283.4000000000,39283.4000000000,29613.6400000000,29613.6400000000,29613.6400000000,29632.2000000000,29632.2000000000,29632.2000000000,22338.1200000000,22338.1200000000,22338.1200000000,29632.2000000000,29632.2000000000,29632.2000000000,22338.1200000000,22338.1200000000,22338.1200000000,29632.2000000000,29632.2000000000,29632.2000000000,22338.1200000000,22338.1200000000,22338.1200000000
1,0,4,0,5,1,7,6,2,5,3,3,6,7,4,2,4,2,6,7,6,4,4,2,7,6,7,5,4,5,5,7,4,2,3,2,5,6,7,3,2,4,6,7,6,5,2,5
